rk,nm,gr,sc,sh,shx,ct,st,ll,ti,mt,auto
1,Addie Robillard,So,CSUA,St. Ursula,Academy,Cincinnati,OH,"39.124710, -84.481598",1:00.17,swdistrict23,yes
2,Quinn Schureck,Fr,CIWH,Walnut Hills,,Cincinnati,OH,"39.140488, -84.480216",1:03.22,swdistrict23,yes
3,Madelyn Bosler,Jr,WNO,Westerville North,,Westerville,OH,"40.132830, -82.897903",1:03.41,central23,yes
4,Marie Belli,Sr,GLI,Gahanna Lincoln,,Gahanna,OH,"40.016451, -82.865533",1:03.69,central23,yes
5,Paige Delma,Sr,WKI,Worthington Kilbourne,,Worthington,OH,"40.115217, -83.055895",1:03.87,central23,yes
6,McCall Freiburger,Jr,UPA,Upper Arlington,,Upper Arlington,OH,"40.015311, -83.054726",1:04.34,central23,
7,Olivia Elgin,Sr,GGR,Green,,Uniontown,OH,"40.957684, -81.473300",1:04.40,nedistrict23,yes
8,Alayna Brooker,Sr,AUR,Aurora,,Aurora,OH,"41.310991, -81.350809",1:04.41,nedistrict23,yes
9,Audrey Brink,Jr,DJER,Dublin Jerome,,Dublin,OH,"40.133757, -83.177420",1:04.54,central23,
10,Anna Helmuth,Fr,NCH,Hoover,,North Canton,OH,"40.885368, -81.394707",1:04.54,nedistrict23,yes
11,Alyssa Uhlman,Fr,CURA,Ursuline,Academy,Cincinnati,OH,"39.247894, -84.371321",1:04.61,swdistrict23,yes
12,Reena Ding,Jr,DCO,Dublin Coffman,,Dublin,OH,"40.107364, -83.130928",1:04.89,central23,
13,Marisa Schenkenberger,Sr,HUD,Hudson,,Hudson,OH,"41.256797, -81.413904",1:04.90,nedistrict23,
14,Grace Rider,Sr,CBW,Bishop Watterson,,Columbus,OH,"40.048986, -83.016282",1:04.98,central23,
15,Julia Gregory,So,MAS,Mason,,Mason,OH,"39.351367, -84.306013",1:05.54,swdistrict23,
16,Annaliess Stith,Jr,REY,Reynoldsburg,,Reynoldsburg,OH,"39.942786, -82.816502",1:05.58,central23,
17,Katie Fisher,Sr,LEB,Lebanon,,Lebanon,OH,"39.463762, -84.181354",1:05.58,swdistrict23,
18,Lillian Paley,Sr,MAS,Mason,,Mason,OH,"39.351367, -84.306013",1:05.99,swdistrict23,
19,Kara Glesenkamp,So,DHA,Hayes,,Delaware,OH,"40.310505, -83.080234",1:06.10,central23,
20,Grace Henely,Jr,GMI,Midview,,Grafton,OH,"41.302620, -82.063503",1:06.45,nwdistrict23,yes
21,Sophie Paskiet,Sr,TSUA,St. Ursula,Academy,Toledo,OH,"41.670864, -83.640240",1:06.63,nwdistrict23,yes
22,Ceci Croci,Sr,UPA,Upper Arlington,,Upper Arlington,OH,"40.015311, -83.054726",1:06.88,central23,
23,Natalie Holub,So,WTW,Thomas Worthington,,Worthington,OH,"40.090509, -83.025051",1:06.90,central23,
24,Ashleigh Bender,Jr,KMK,Kings,,Kings Mills,OH,"39.354352, -84.254955",1:06.98,swdistrict23,
25,Sophia Simon,Fr,CURA,Ursuline,Academy,Cincinnati,OH,"39.247894, -84.371321",1:07.30,swdistrict23,
26,Gwen Stacey,Sr,WSO,Westerville South,,Westerville,OH,"40.118040, -82.923453",1:07.55,central23,
27,Ann Newkirk,Sr,MIA,Miamisburg,,Miamisburg,OH,"39.627691, -84.257734",1:07.57,swdistrict23,
28,Carrie Caniglia,Sr,HUD,Hudson,,Hudson,OH,"41.256797, -81.413904",1:07.60,nedistrict23,
29,Sierra Kobak,Fr,AVO,Avon,,Avon,OH,"41.444579, -82.037907",1:07.82,nwdistrict23,yes
30,Kaelah Baccus,Jr,TNDA,Notre Dame,Academy,Toledo,OH,"41.689979, -83.628780",1:07.85,nwdistrict23,
31,Abbie Curry,Fr,OTA,Talawanda,,Oxford,OH,"39.489855, -84.732758",1:07.91,swdistrict23,
32,Carolyn Wanosik,Jr,RORV,Rocky River,,Rocky River,OH,"41.473668, -81.851096",1:08.12,nwdistrict23,
33,Gabby Kuetemeyer,Sr,MLMI,Little Miami,,Morrow,OH,"39.356626, -84.159580",1:08.20,swdistrict23,
34,Elise Schantz,Fr,UPA,Upper Arlington,,Upper Arlington,OH,"40.015311, -83.054726",1:08.23,central23,
35,Kate Baxter,Jr,NCH,Hoover,,North Canton,OH,"40.885368, -81.394707",1:08.33,nedistrict23,
