rk,nm,gr,sc,sh,ct,st,ll,ti,mt,auto,shx
1,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:33.69,central23,yes,
2,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:34.35,central23,yes,
3,A,,GLI,Gahanna Lincoln,Gahanna,OH,"40.016451, -82.865533",1:36.16,central23,,
4,A,,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",1:36.29,swdistrict23,yes,Academy
5,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:36.96,swdistrict23,yes,
6,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",1:37.17,nedistrict23,yes,
7,A,,RORV,Rocky River,Rocky River,OH,"41.473668, -81.851096",1:37.91,nwdistrict23,yes,
8,A,,TSUA,St. Ursula,Toledo,OH,"41.670864, -83.640240",1:38.01,nwdistrict23,yes,Academy
9,A,,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",1:38.38,swdistrict23,,
10,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",1:38.39,nedistrict23,yes,
11,A,,DCO,Dublin Coffman,Dublin,OH,"40.107364, -83.130928",1:38.49,central23,,
12,A,,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",1:38.56,swdistrict23,,
13,A,,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",1:38.68,swdistrict23,,
14,A,,WAW,Anthony Wayne,Whitehouse,OH,"41.532495, -83.779770",1:38.70,nwdistrict23,,
15,A,,DHA,Hayes,Delaware,OH,"40.310505, -83.080234",1:38.84,central23,,
16,A,,AVO,Avon,Avon,OH,"41.444579, -82.037907",1:38.88,nwdistrict23,,
17,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:38.91,central23,,
18,A,,WCLW,Lakota West,West Chester,OH,"39.330294, -84.431138",1:39.09,swdistrict23,,
19,A,,OTA,Talawanda,Oxford,OH,"39.489855, -84.732758",1:39.15,swdistrict23,,
20,A,,MEN,Mentor,Mentor,OH,"41.694749, -81.336990",1:39.18,nedistrict23,,
21,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",1:39.86,central23,,
22,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",1:39.89,swdistrict23,,
23,A,,CURA,Ursuline,Cincinnati,OH,"39.247894, -84.371321",1:39.95,swdistrict23,,Academy
24,A,,YBO,Boardman,Youngstown,OH,"41.011154, -80.668442",1:40.02,nedistrict23,,
25,A,,BVC,Beavercreek,Beavercreek,OH,"39.720416, -84.033778",1:40.14,swdistrict23,,
26,A,,GGR,Green,Uniontown,OH,"40.957684, -81.473300",1:40.20,nedistrict23,,
27,A,,WKI,Worthington Kilbourne,Worthington,OH,"40.115217, -83.055895",1:40.50,central23,,
28,A,,MNO,Nordonia,Macedonia,OH,"41.301860, -81.510625",1:40.57,nedistrict23,,
29,A,,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",1:40.72,nedistrict23,,
30,A,,CSYC,Sycamore,Cincinnati,OH,"39.267037, -84.352090",1:40.79,swdistrict23,,
31,A,,LEB,Lebanon,Lebanon,OH,"39.463762, -84.181354",1:40.88,swdistrict23,,
32,A,,STRG,Strongsville,Strongsville,OH,"41.303367, -81.845993",1:40.92,nwdistrict23,,
33,A,,FRO,Fremont Ross,Fremont,OH,"41.362541, -83.123975",1:41.05,nwdistrict23,,
34,A,,CHA,Chardon,Chardon,OH,"41.591271, -81.200412",1:41.21,nedistrict23,,
35,A,,MPE,Perry,Massillon,OH,"40.789187, -81.462916",1:41.53,nedistrict23,,
36,A,,COH,Oak Hills,Cincinnati,OH,"39.146768, -84.648598",1:41.76,swdistrict23,,
37,A,,MED,Medina,Medina,OH,"41.144765, -81.850433",1:41.88,nwdistrict23,,
38,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",1:41.92,central23,,
39,A,,SOL,Solon,Solon,OH,"41.377670, -81.441060",1:42.45,nedistrict23,,
40,A,,FIN,Findlay,Findlay,OH,"41.056646, -83.665959",1:42.47,nwdistrict23,,
41,A,,LOUI,Louisville,Louisville,OH,"40.829441, -81.252604",1:42.75,nedistrict23,,
42,A,,LOV,Loveland,Loveland,OH,"39.279797, -84.275046",1:42.78,swdistrict23,,
43,A,,WAD,Wadsworth,Wadsworth,OH,"41.021539, -81.710912",1:42.83,nwdistrict23,,
44,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",1:42.98,nedistrict23,,
45,A,,TRO,Troy,Troy,OH,"40.045804, -84.201045",1:43.06,swdistrict23,,
