rk,nm,gr,sc,sh,ct,st,ll,ti,mt,auto,shx
1,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:43.73,central23,yes,
2,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:44.08,central23,yes,
3,A,,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",1:44.36,swdistrict23,yes,Academy
4,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:45.12,central23,,
5,A,,DCO,Dublin Coffman,Dublin,OH,"40.107364, -83.130928",1:45.55,central23,,
6,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",1:46.20,nedistrict23,yes,
7,A,,DHA,Hayes,Delaware,OH,"40.310505, -83.080234",1:46.22,central23,,
8,A,,GGR,Green,Uniontown,OH,"40.957684, -81.473300",1:46.23,nedistrict23,yes,
9,A,,CURA,Ursuline,Cincinnati,OH,"39.247894, -84.371321",1:46.35,swdistrict23,yes,Academy
10,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:46.67,swdistrict23,,
11,A,,TSUA,St. Ursula,Toledo,OH,"41.670864, -83.640240",1:46.72,nwdistrict23,yes,Academy
12,A,,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",1:47.15,swdistrict23,,
13,A,,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",1:47.18,swdistrict23,,
14,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",1:47.20,nedistrict23,,
15,A,,SHT,Shaker Heights,Shaker Heights,OH,"41.473276, -81.568492",1:47.52,nedistrict23,,
16,A,,YBO,Boardman,Youngstown,OH,"41.011154, -80.668442",1:48.00,nedistrict23,,
17,A,,DOB,Olentangy Berlin,Delaware,OH,"40.254987, -83.002974",1:48.46,central23,,
18,A,,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",1:48.52,swdistrict23,,
19,A,,GLI,Gahanna Lincoln,Gahanna,OH,"40.016451, -82.865533",1:48.59,central23,,
20,A,,AFI,Firestone,Akron,OH,"41.118939, -81.564683",1:48.75,nedistrict23,,
21,A,,LEB,Lebanon,Lebanon,OH,"39.463762, -84.181354",1:48.80,swdistrict23,,
22,A,,AVO,Avon,Avon,OH,"41.444579, -82.037907",1:49.33,nwdistrict23,yes,
23,A,,WCLW,Lakota West,West Chester,OH,"39.330294, -84.431138",1:49.37,swdistrict23,,
24,A,,WKI,Worthington Kilbourne,Worthington,OH,"40.115217, -83.055895",1:49.45,central23,,
25,A,,OTA,Talawanda,Oxford,OH,"39.489855, -84.732758",1:49.51,swdistrict23,,
26,A,,LCOR,Olentangy Orange,Lewis Center,OH,"40.171851, -82.978987",1:50.05,central23,,
27,A,,SOL,Solon,Solon,OH,"41.377670, -81.441060",1:50.10,nedistrict23,,
28,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",1:50.47,central23,,
29,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",1:50.51,nedistrict23,,
30,A,,AUR,Aurora,Aurora,OH,"41.310991, -81.350809",1:50.97,nedistrict23,,
31,A,,CBW,Bishop Watterson,Columbus,OH,"40.048986, -83.016282",1:51.00,central23,,
32,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",1:51.28,central23,,
33,A,,WNO,Westerville North,Westerville,OH,"40.132830, -82.897903",1:51.41,central23,,
34,A,,STRG,Strongsville,Strongsville,OH,"41.303367, -81.845993",1:51.62,nwdistrict23,,
35,A,,PERB,Perrysburg,Perrysburg,OH,"41.519172, -83.653030",1:51.83,nwdistrict23,,
36,A,,KFA,Kettering Fairmont,Kettering,OH,"39.698839, -84.164473",1:51.99,swdistrict23,,
37,A,,MED,Medina,Medina,OH,"41.144765, -81.850433",1:52.07,nwdistrict23,,
38,A,,MPE,Perry,Massillon,OH,"40.789187, -81.462916",1:52.31,nedistrict23,,
39,A,,FRO,Fremont Ross,Fremont,OH,"41.362541, -83.123975",1:52.35,nwdistrict23,,
40,A,,CMND,Mount Notre Dame,Cincinnati,OH,"39.220733, -84.429845",1:52.71,swdistrict23,,
41,A,,LOV,Loveland,Loveland,OH,"39.279797, -84.275046",1:52.96,swdistrict23,,
42,A,,BRU,Brunswick,Brunswick,OH,"41.241619, -81.815475",1:53.23,nwdistrict23,,
43,A,,SYSO,Sylvania Southview,Sylvania,OH,"41.687547, -83.716431",1:53.52,nwdistrict23,,
44,A,,ASH,Ashland,Ashland,OH,"40.854435, -82.325601",1:53.61,nwdistrict23,,
45,A,,RORV,Rocky River,Rocky River,OH,"41.473668, -81.851096",1:54.44,nwdistrict23,,
46,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",1:54.88,swdistrict23,,
47,A,,SPR,Springboro,Springboro,OH,"39.532708, -84.240096",1:54.89,swdistrict23,,
48,A,,WSO,Westerville South,Westerville,OH,"40.118040, -82.923453",1:55.01,central23,,
49,A,,WAW,Anthony Wayne,Whitehouse,OH,"41.532495, -83.779770",1:55.02,nwdistrict23,,
50,A,,VANB,Butler,Vandalia,OH,"39.885121, -84.197325",1:55.31,swdistrict23,,
51,A,,CSET,Seton,Cincinnati,OH,"39.112886, -84.578631",1:55.48,swdistrict23,,
52,A,,LTLE,Lakota East,Liberty Township,OH,"39.379273, -84.371020",1:55.76,swdistrict23,,
53,A,,TRO,Troy,Troy,OH,"40.045804, -84.201045",1:55.76,swdistrict23,,
54,A,,MAY,Mayfield,Mayfield Village,OH,"41.536528, -81.459515",1:56.03,nedistrict23,,
55,A,,WES,Westlake,Westlake,OH,"41.460632, -81.928970",1:56.15,nwdistrict23,,
56,A,,LCO,Olentangy,Lewis Center,OH,"40.205092, -83.020650",1:56.76,central23,,
57,A,,BGR,Bowling Green,Bowling Green,OH,"41.387166, -83.657431",1:56.94,nwdistrict23,,
58,A,,HDAV,Hilliard Davidson,Hilliard,OH,"40.049694, -83.156922",1:57.18,central23,,
59,A,,WHO,Howland,Warren,OH,"41.239850, -80.745293",1:57.21,nedistrict23,,
60,A,,CFWJ,Walsh Jesuit,Cuyahoga Falls,OH,"41.192007, -81.496008",1:57.21,nedistrict23,,
61,A,,CSYC,Sycamore,Cincinnati,OH,"39.267037, -84.352090",1:57.32,swdistrict23,,
62,A,,WAP,Wapakoneta,Wapakoneta,OH,"40.583246, -84.194470",1:57.36,nwdistrict23,,
63,A,,PICN,Pickerington North,Pickerington,OH,"39.908903, -82.733425",1:57.62,central23,,
64,A,,MEN,Mentor,Mentor,OH,"41.694749, -81.336990",1:57.62,nedistrict23,,
65,A,,COH,Oak Hills,Cincinnati,OH,"39.146768, -84.648598",1:57.83,swdistrict23,,
66,A,,TCO,Columbian,Tiffin,OH,"41.108863, -83.177897",1:59.11,nwdistrict23,,
67,A,,TNDA,Notre Dame,Toledo,OH,"41.689979, -83.628780",1:59.19,nwdistrict23,,Academy
68,A,,SMF,Stow-Munroe Falls,Stow,OH,"41.168063, -81.397098",1:59.21,nedistrict23,,
69,A,,COSF,St. Francis de Sales,Columbus,OH,"40.053211, -82.975205",1:59.68,central23,,
70,A,,BHB,Brecksville-Broadview Heights,Broadview Heights,OH,"41.327207, -81.644428",1:59.85,nedistrict23,,
71,A,,BELB,Bellbrook,Bellbrook,OH,"39.652774, -84.067779",1:59.86,swdistrict23,,
72,A,,MVE,Mount Vernon,Mount Vernon,OH,"40.378420, -82.474474",2:00.07,central23,,
73,A,,CHA,Chardon,Chardon,OH,"41.591271, -81.200412",2:00.41,nedistrict23,,
74,A,,MNO,Nordonia,Macedonia,OH,"41.301860, -81.510625",2:00.69,nedistrict23,,
75,A,,CLH,Cleveland Heights,Cleveland Heights,OH,"41.502378, -81.562969",2:00.71,nedistrict23,,
76,A,,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",2:00.82,nedistrict23,,
77,A,,CLSJ,St. Joseph,Cleveland,OH,"41.458821, -81.817638",2:00.86,nwdistrict23,,Academy
