rk,nm,gr,sc,sh,shx,ct,st,ll,ti,mt,auto
1,Lilly Mehok,Jr,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",53.88,nedistrict23,yes
2,Lily Baumgartner,So,ADA,Ada,,Ada,OH,"40.774727, -83.832852",55.46,nwdistrict23,yes
3,Millie Evans,So,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",55.54,central23,yes
4,Chloe Bautista,Sr,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",57.31,nedistrict23,yes
5,Leah Guess,Jr,AMA,Marlington,,Alliance,OH,"40.922987, -81.181719",57.63,nedistrict23,yes
6,Emily Kyre,So,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",57.83,swdistrict23,yes
7,Elizabeth Theobold,Jr,ARCH,Archbold,,Archbold,OH,"41.515950, -84.313052",57.98,nwdistrict23,yes
8,Elizabeth Fager,Jr,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",58.02,swdistrict23,yes
9,Nina Larosa,Sr,BVB,Bay,,Bay Village,OH,"41.486992, -81.943391",58.14,nedistrict23,
10,Ella Leibold,Jr,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",58.18,swdistrict23,yes
11,Jenna Wenger,Jr,USA,Upper Sandusky,,Upper Sandusky,OH,"40.840597, -83.281129",58.87,nwdistrict23,yes
12,Olivia Morse,Sr,COSG,Columbus School for Girls,nhs,Columbus,OH,"39.968086, -82.938260",59.38,central23,yes
13,Marie Musbach,Sr,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",59.44,nedistrict23,
14,Holly Perkowski,Sr,DOV,Dover,,Dover,OH,"40.523320, -81.481673",59.47,central23,yes
15,Emma Rosenbaum,Fr,CAMN,Archbishop McNicholas,,Cincinnati,OH,"39.085974, -84.377135",59.48,swdistrict23,
16,Ava Shardo,So,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",59.55,swdistrict23,
17,Grace Kitchen,Jr,PER,Perry,,Perry,OH,"41.773352, -81.140964",59.75,nedistrict23,
18,Delaney Gorman,Fr,CICD,Cincinnati Country Day,School,Cincinnati,OH,"39.185750, -84.327596",59.78,swdistrict23,
19,Annabel Long,Jr,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",59.97,central23,
20,Kylie Niekamp,Sr,MSML,Marion Local,,Maria Stein,OH,"40.404803, -84.494566",1:00.08,nwdistrict23,
21,Emma Salerno,Fr,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",1:00.17,nedistrict23,
22,Gigi Falke,Fr,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",1:00.20,nedistrict23,
23,Addy Pruce,So,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",1:00.56,nedistrict23,
24,Jane Feichtner,Jr,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",1:00.58,swdistrict23,
25,Alison Vaulx,Jr,DBV,Buckeye Valley,,Delaware,OH,"40.348814, -83.091635",1:00.81,central23,
26,Callie Hayes,Fr,DOA,Oakwood,,Dayton,OH,"39.720838, -84.171489",1:00.94,swdistrict23,
27,Averie Jacquemin,Sr,TCT,Tippecanoe,,Tipp City,OH,"39.982963, -84.188496",1:01.06,swdistrict23,
28,Ciara Dwyer,Fr,DTMV,Miami Valley,School,Dayton,OH,"39.673395, -84.180330",1:01.50,swdistrict23,
29,Jenna Leeper,Sr,DOV,Dover,,Dover,OH,"40.523320, -81.481673",1:01.79,central23,
30,Ella Schirtzinger,Jr,NCA,Newark Catholic,,Newark,OH,"40.057087, -82.433982",1:02.01,central23,
31,Gabby Demarco,Sr,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",1:02.01,swdistrict23,
32,Libby Holmes,Fr,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",1:02.31,swdistrict23,
33,Grace Rhoades,Jr,WAU,Wauseon,,Wauseon,OH,"41.553403, -84.127931",1:02.45,nwdistrict23,
34,Gabrielle Yuan,Sr,COSG,Columbus School for Girls,nhs,Columbus,OH,"39.968086, -82.938260",1:02.49,central23,
35,Natalie Mitchel,Fr,SPE,Perkins,,Sandusky,OH,"41.412915, -82.702217",1:02.49,nwdistrict23,
36,Paige Simon,So,DOA,Oakwood,,Dayton,OH,"39.720838, -84.171489",1:02.63,swdistrict23,
37,Catherine Cartmell,So,COTW,The Wellington School,nhs,Columbus,OH,"40.031251, -83.064231",1:02.69,central23,
38,Jenna Downey,Fr,BLUF,Bluffton,,Bluffton,OH,"40.892504, -83.893380",1:03.14,nwdistrict23,
39,Alexa Taylor,Jr,PTCL,Port Clinton,,Port Clinton,OH,"41.503497, -82.937835",1:03.19,nwdistrict23,
40,Cilka Rowane,Jr,CLHB,Beaumont,School,Cleveland Heights,OH,"41.485421, -81.561363",1:03.35,nedistrict23,
41,Kaitlyn Bowden,Sr,ADA,Ada,,Ada,OH,"40.774727, -83.832852",1:03.52,nwdistrict23,
42,Taylor Knott,Jr,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",1:03.70,nwdistrict23,
43,Delaney Quinn,Jr,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",1:03.76,swdistrict23,
44,Ryleigh Crooks,So,CRO,Crooksville,,Crooksville,OH,"39.743650359467374, -82.09615901835315",1:03.89,central23,
45,Alexa Su,Jr,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",1:03.95,nedistrict23,
46,Addie Woessner,Fr,DCJ,Chaminade Julienne,Catholic High School,Dayton,OH,"39.752383, -84.192223",1:04.11,swdistrict23,
47,Macy Wilson,Jr,PGI,Pandora-Gilboa,,Pandora,OH,"40.954594, -83.970144",1:04.12,nwdistrict23,
48,Isabelle Botos,Sr,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",1:04.14,nedistrict23,
49,Grace Them,Fr,ONT,Ontario,,Ontario,OH,"40.764612, -82.647690",1:04.30,nwdistrict23,
50,Maeve Sweeney,Sr,CMAR,Mariemont,,Cincinnati,OH,"39.144829, -84.365077",1:04.44,swdistrict23,
51,Alyssa Shaffer,So,SKR,Kenton Ridge,,Springfield,OH,"39.986529, -83.762351",1:04.54,swdistrict23,
52,Lily Cordonnier,Jr,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",1:04.63,swdistrict23,
53,Ashley Slife,Sr,LCL,Cloverleaf,,Lodi,OH,"41.040734, -81.964936",1:04.65,nedistrict23,
54,Sabrina George,So,IND,Independence,,Independence,OH,"41.374340, -81.649124",1:04.65,nedistrict23,
55,Sarah Grubach,Sr,MLC,Lake Catholic,,Mentor,OH,"41.688021, -81.375817",1:04.91,nedistrict23,
56,Peyton Gabel,Fr,SMM,St. Marys Memorial,,St. Marys,OH,"40.558323, -84.374242",1:05.00,nwdistrict23,
57,Alaina Jacquemin,So,TCT,Tippecanoe,,Tipp City,OH,"39.982963, -84.188496",1:05.06,swdistrict23,
58,Izzy Byer,Jr,COL,Coldwater,,Coldwater,OH,"40.481679, -84.629590",1:05.24,nwdistrict23,
59,Rene Fleege,Jr,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",1:05.48,central23,
60,Sophie Tindale,Fr,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",1:05.56,swdistrict23,
61,Abigail Griffiths,So,GEN,Geneva,,Geneva,OH,"41.800428, -80.928698",1:05.80,nedistrict23,
62,Aida Thoman,Sr,CMAR,Mariemont,,Cincinnati,OH,"39.144829, -84.365077",1:05.80,swdistrict23,
63,Hannah Cooper,So,CFK,Kenston,,Chagrin Falls,OH,"41.392195, -81.303848",1:06.01,nedistrict23,
64,Chloe Albrecht,Sr,CBH,Bishop Hartley,,Columbus,,"39.944917, -82.911518",1:06.08,central23,
65,Alayna Butler,Sr,CZT,Zane Trace,,Chillicothe,OH,"39.427893, -82.937674",1:06.10,central23,
66,June Essinger,So,BLUF,Bluffton,,Bluffton,OH,"40.892504, -83.893380",1:06.11,nwdistrict23,
67,Paige Brinkman,Sr,LCC,Lima Central Catholic,,Lima,OH,"40.731539, -84.148250",1:06.17,nwdistrict23,
68,Elizabeth Rankin,Sr,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",1:06.18,nedistrict23,
69,Scarlet Butler,S0,CNO,Norwayne,,Creston,OH,"40.96546636130357, -81.90256079486097",1:06.26,nedistrict23,
70,Vivian Brown,Sr,COP,Copley,,Copley,OH,"41.112630, -81.649216",1:06.33,nedistrict23,
71,Riley Robinette,Sr,WCH,Champion,,Warren,OH,"41.31628637540576, -80.8519506384455",1:06.39,nedistrict23,
72,Natalie Queen,Sr,LEX,Lexington,,Lexington,OH,"40.672877, -82.586867",1:06.62,nwdistrict23,
73,Aanya Chepyala,Fr,PPO,Orange,,Pepper Pike,OH,"41.458036, -81.454526",1:06.69,nedistrict23,
