rk,nm,gr,sc,sh,shx,ct,st,ll,ti,mt,auto
1,Julia Shafer,So,CHCA,Cincinnati Hills Christian,Academy,Cincinnati,OH,"39.276971, -84.337058",2:03.85,swdistrict23,yes
2,Lilly Mehok,Jr,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",2:04.95,nedistrict23,yes
3,Claire Mehok,Jr,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",2:06.24,nedistrict23,yes
4,Emma Tenhundfeld,So,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",2:06.27,swdistrict23,yes
5,Laina Collis,Jr,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",2:06.95,nedistrict23,yes
6,Sofia Jimenez,Fr,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",2:08.11,nedistrict23,
7,Katelyn Smittle,So,DTMV,Miami Valley,School,Dayton,OH,"39.673395, -84.180330",2:08.14,swdistrict23,yes
8,Isabella Pribonic,So,NCA,Newark Catholic,,Newark,OH,"40.057087, -82.433982",2:08.29,central23,yes
9,Reese Reilly,Fr,SBRB,Roger Bacon,,Cincinnati,OH,"39.162903, -84.502332",2:08.37,swdistrict23,
10,Alexandra Scharpf,Jr,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",2:08.40,nedistrict23,
11,Millie Evans,So,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",2:08.41,central23,yes
12,Lily Mitchell,Jr,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",2:09.77,swdistrict23,
13,Chloe Bautista,Sr,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",2:10.04,nedistrict23,
14,Lydia Eberlein,Sr,CMAR,Mariemont,,Cincinnati,OH,"39.144829, -84.365077",2:10.93,swdistrict23,
15,Skyler Turner,Jr,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",2:11.08,nwdistrict23,yes
16,Anna Lewis,Sr,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",2:11.35,swdistrict23,
17,Marissa Beckett,Sr,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",2:12.44,nwdistrict23,yes
18,Anja Hoy,Jr,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",2:12.61,central23,yes
19,Gabby Henz,Fr,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",2:12.68,swdistrict23,
20,Kylie Niekamp,Sr,MSML,Marion Local,,Maria Stein,OH,"40.404803, -84.494566",2:13.78,nwdistrict23,yes
21,Alex Voisard,Sr,TCT,Tippecanoe,,Tipp City,OH,"39.982963, -84.188496",2:14.48,swdistrict23,
22,Annabel Long,Jr,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",2:14.73,central23,
23,Ansley Neff,Fr,CWYO,Wyoming,,Cincinnati,OH,"39.233295, -84.470133",2:14.91,swdistrict23,
24,Alaina Pizarro,Jr,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",2:15.04,nedistrict23,
25,Marie Musbach,Sr,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",2:15.06,nedistrict23,
26,Holly Perkowski,Sr,DOV,Dover,,Dover,OH,"40.523320, -81.481673",2:15.48,central23,
27,Cla Fernandez-Deardurff,Fr,DCA,Carroll,,Dayton,,"39.741866, -84.113388",2:16.30,swdistrict23,
28,Ciara Dwyer,Fr,DTMV,Miami Valley,School,Dayton,OH,"39.673395, -84.180330",2:16.44,swdistrict23,
29,Emma Montgomery,So,SHEL,Shelby,,Shelby,OH,"40.890113, -82.673283",2:16.55,nwdistrict23,
30,Riley McCombs,Jr,NMS,Springfield,,New Middletown,OH,"40.95505570899591, -80.54822234264678",2:16.67,nedistrict23,
31,Jenna Hollenbaugh,Sr,MPL,Pleasant,,Marion,OH,"40.516627, -83.137041",2:16.69,central23,
32,Daniela Perez,Jr,WAN,Andrews Osborne,Academy,Willoughby,OH,"41.641388, -81.396967",2:17.23,nedistrict23,
33,Grace Rhoades,Jr,WAU,Wauseon,,Wauseon,OH,"41.553403, -84.127931",2:17.86,nwdistrict23,
34,Jana Gustin,Jr,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",2:18.11,nedistrict23,
35,Alexa Taylor,Jr,PTCL,Port Clinton,,Port Clinton,OH,"41.503497, -82.937835",2:18.36,nwdistrict23,
36,Carsen Voisinet,Jr,TRCH,Troy Christian,,Troy,OH,"40.035114, -84.229462",2:18.61,swdistrict23,
37,Ciera Rupert,Jr,SMM,St. Marys Memorial,,St. Marys,OH,"40.558323, -84.374242",2:19.08,nwdistrict23,
38,Abby Leatherman,Jr,VBU,Van Buren,,Van Buren,OH,"41.135146912757264, -83.64796984246485",2:20.24,nwdistrict23,
39,Izzy Trem,So,MLC,Lake Catholic,,Mentor,OH,"41.688021, -81.375817",2:20.56,nedistrict23,
40,Ella West,Fr,SPE,Perkins,,Sandusky,OH,"41.412915, -82.702217",2:21.20,nwdistrict23,
41,Emily Tropp,Jr,SCC,Catholic Central,,Springfield,OH,"39.921968, -83.791695",2:22.03,swdistrict23,
42,Lillian Kiraly,Fr,YUR,Ursuline,,Youngstown,OH,"41.109849, -80.643130",2:22.30,nedistrict23,
43,Mary Musteric,Sr,PEME,Eastwood,,Pemberville,OH,"41.428757, -83.490383",2:22.30,nwdistrict23,
44,Haley Baker,Fr,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",2:22.49,swdistrict23,
45,Grace Them,Fr,ONT,Ontario,,Ontario,OH,"40.764612, -82.647690",2:22.54,nwdistrict23,
46,Angelina Brown,Sr,GEN,Geneva,,Geneva,OH,"41.800428, -80.928698",2:22.77,nedistrict23,
47,Isabelle Botos,Sr,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",2:23.08,nedistrict23,
48,Abby Di-Nardo,Jr,CBH,Bishop Hartley,,Columbus,,"39.944917, -82.911518",2:23.09,central23,
49,Cayla Dibernardo,Sr,CFK,Kenston,,Chagrin Falls,OH,"41.392195, -81.303848",2:23.13,nedistrict23,
50,Natalie Mitchel,Fr,SPE,Perkins,,Sandusky,OH,"41.412915, -82.702217",2:24.72,nwdistrict23,
51,Krista Glaser,Sr,MSV,Sandy Valley,,Magnolia,OH,"40.636582, -81.348905",2:24.76,central23,
52,Addie Woessner,Fr,DCJ,Chaminade Julienne,Catholic High School,Dayton,OH,"39.752383, -84.192223",2:25.37,swdistrict23,
53,Natalie Kuntz,Jr,WAU,Wauseon,,Wauseon,OH,"41.553403, -84.127931",2:25.55,nwdistrict23,
54,Annie Wright,Sr,DOV,Dover,,Dover,OH,"40.523320, -81.481673",2:25.73,central23,
55,Caroline Whitlatch,Sr,NBR,New Bremen,,New Bremen,OH,"40.436355, -84.362117",2:25.96,nwdistrict23,
56,Cienna Schmidt,Fr,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",2:26.08,swdistrict23,
57,Catie Boggs,So,WHE,Wheelersburg,,Wheelersburg,OH,"38.722159, -82.846337",2:26.46,central23,
58,Cassy Connare,Sr,DOV,Dover,,Dover,OH,"40.523320, -81.481673",2:26.46,central23,
59,Tori Schneider,So,FCC,Cincinnati Christian,,Fairfield,OH,"39.368681, -84.498138",2:26.47,swdistrict23,
60,Allison Diller,Sr,BLUF,Bluffton,,Bluffton,OH,"40.892504, -83.893380",2:26.51,nwdistrict23,
61,Claire Daubenmeyer,So,SCL,St. Clairsville,,St. Clairsville,OH,"40.079640, -80.896491",2:26.87,central23,
62,Aleah Daugherty,So,ORR,Orrville,,Orrville,OH,"40.848053, -81.770023",2:26.98,nedistrict23,
63,Grace Largent,Fr,GRA,Granville,,Granville,OH,"40.078761, -82.527668",2:27.02,central23,
64,Morgan Maag,Jr,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",2:27.23,nwdistrict23,
65,Lily Cordonnier,Jr,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",2:27.32,swdistrict23,
66,Rachel Tan,Jr,TAL,Tallmadge,,Tallmadge,OH,"41.105321, -81.413037",2:27.44,nedistrict23,
67,Caitlyn Hartzell,Sr,BVB,Bay,,Bay Village,OH,"41.486992, -81.943391",2:28.18,nedistrict23,
68,Kathleen Delaney,Sr,CNDC,Notre Dame-Cathedral Latin,,Chardon,OH,"41.514751, -81.249669",2:28.57,nedistrict23,
69,Maia Aumock,Sr,IND,Independence,,Independence,OH,"41.374340, -81.649124",2:28.65,nedistrict23,
70,Sabrina George,So,IND,Independence,,Independence,OH,"41.374340, -81.649124",2:28.84,nedistrict23,
71,Gia Rosko,Jr,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",2:29.01,nedistrict23,
72,Dani Denman,Jr,CAMA,Margaretta,,Castalia,OH,"41.399284, -82.801295",2:29.11,nwdistrict23,
73,Kendall Guddy,Sr,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",2:29.25,nedistrict23,
74,Rees Lewis,So,SHEL,Shelby,,Shelby,OH,"40.890113, -82.673283",2:29.25,nwdistrict23,
75,Lyza Vail,Sr,LFU,Fairfield Union,,Lancaster,OH,"39.754663, -82.466906",2:29.37,central23,
76,Quinn Lefeld,Fr,SHE,St. Henry,,St. Henry,OH,"40.416354, -84.634782",2:29.44,nwdistrict23,
77,Sydney Lauffer,Fr,GRA,Granville,,Granville,OH,"40.078761, -82.527668",2:29.81,central23,
78,Nina Nappo,So,CLUB,Columbiana,,Columbiana,OH,"40.880808, -80.680837",2:29.97,nedistrict23,
79,Marissa Mapes,Jr,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",2:30.13,nwdistrict23,
80,Maggie Razzano,So,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",2:30.23,swdistrict23,
81,Kaili Hewitt,Sr,EAT,Eaton,,Eaton,OH,"39.732767, -84.649014",2:30.26,swdistrict23,
82,Ava Beuschlein,Fr,VBU,Van Buren,,Van Buren,OH,"41.135146912757264, -83.64796984246485",2:31.21,nwdistrict23,
83,Olivia Martin,Sr,CBC,Bloom-Carroll,,Carroll,OH,"39.794563, -82.697546",2:31.24,central23,
84,Camille Hannallah,Jr,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",2:31.29,central23,
85,Lizzie Covington,Fr,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",2:31.31,nedistrict23,
86,Isabelle Stowe,Fr,TPA,Athens,,The Plains,OH,"39.372428, -82.128025",2:31.49,central23,
87,Lily Secrist,Fr,ONT,Ontario,,Ontario,OH,"40.764612, -82.647690",2:31.51,nwdistrict23,
88,Elaina Seif,So,ONT,Ontario,,Ontario,OH,"40.764612, -82.647690",2:31.56,nwdistrict23,
89,Meagan Rini,Jr,VER,Vermilion,,Vermilion,OH,"41.411256, -82.357850",2:31.62,nwdistrict23,
90,Chloe Shupe,Fr,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",2:31.64,nwdistrict23,
91,Avery Guenther,Jr,SCC,Catholic Central,,Springfield,OH,"39.921968, -83.791695",2:32.09,swdistrict23,
92,Malia Swartz,Jr,CAN,Canfield,,Canfield,OH,"41.028312, -80.773217",2:32.13,nedistrict23,
93,Vivian Kiraly,Jr,YUR,Ursuline,,Youngstown,OH,"41.109849, -80.643130",2:32.36,nedistrict23,
94,Catelyn Lieser,Jr,CVCA,Cuyahoga Valley Christian,Academy,Cuyahoga Falls,OH,"41.196680, -81.493043",2:32.91,nedistrict23,
95,Isabelle Tindale,Jr,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",2:32.96,swdistrict23,
96,Julia Wyant,So,LEX,Lexington,,Lexington,OH,"40.672877, -82.586867",2:33.00,nwdistrict23,
97,Kaela Gallion,Sr,MBU,Buckeye,,Medina,OH,"41.189915, -81.926671",2:33.04,nedistrict23,
98,Julia Conner,Sr,GAL,Galion,,Galion,OH,"40.740112, -82.805265",2:33.23,nwdistrict23,
99,Tristyn Durdel,Sr,BRY,Bryan,,Bryan,OH,"41.457279, -84.568132",2:33.46,nwdistrict23,
100,Anna Carroll,Sr,CMM,Mercy McAuley,,Cincinnati,OH,"39.200829, -84.553397",2:33.54,swdistrict23,
101,Selah Sargent,Fr,YUR,Ursuline,,Youngstown,OH,"41.109849, -80.643130",2:33.58,nedistrict23,
102,Jaimy Grubbs,Jr,LEX,Lexington,,Lexington,OH,"40.672877, -82.586867",2:33.62,nwdistrict23,
103,Clara Stevens,So,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",2:33.94,central23,
104,Lucy Homan,Fr,NBR,New Bremen,,New Bremen,OH,"40.436355, -84.362117",2:34.10,nwdistrict23,
105,Elena Mackall,So,CLUB,Columbiana,,Columbiana,OH,"40.880808, -80.680837",2:34.34,nedistrict23,
106,Julia Mitchell,So,SSMC,St. Mary Central Catholic,,Sandusky,OH,"41.451012, -82.711819",2:34.81,nwdistrict23,
107,Ava Grieger,Jr,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",2:35.26,nwdistrict23,
108,Madison Wood,Jr,COSG,Columbus School for Girls,nhs,Columbus,OH,"39.968086, -82.938260",2:35.72,central23,
109,Ava Carlier,Fr,CMAR,Mariemont,,Cincinnati,OH,"39.144829, -84.365077",2:35.86,swdistrict23,
110,Carley Timmerman,Jr,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",2:35.98,swdistrict23,
111,Kayla Fent,Fr,CWYO,Wyoming,,Cincinnati,OH,"39.233295, -84.470133",2:37.41,swdistrict23,
112,Stephanie Rose,So,MBF,Bishop Fenwick,,Franklin,OH,"39.491974, -84.294466",2:37.65,swdistrict23,
113,Ava Longo,Jr,TCT,Tippecanoe,,Tipp City,OH,"39.982963, -84.188496",2:37.71,swdistrict23,
114,Kinsey Tucker,So,STE,Steubenville,,Steubenville,OH,"40.365024, -80.612165",2:38.55,central23,
115,Joslyn Robinson,Sr,BELF,Bellefontaine,,Bellefontaine,OH,"40.348075, -83.753845",2:38.92,swdistrict23,
116,Kaci Grice,Fr,JMO,Johnstown-Monroe,,Johnstown,OH,"40.146359, -82.681376",2:40.03,central23,
