rk,nm,gr,sc,sh,shx,ct,st,ll,ti,mt,auto
1,A,,HVUS,University School,nhs,Hunting Valley,OH,"41.485518, -81.427641",1:35.28,nedistrict24,yes
2,A,,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",1:37.75,swdistrict24,yes
3,A,,LEX,Lexington,,Lexington,OH,"40.672877, -82.586867",1:37.85,nwdistrict24,yes
4,A,,CWYO,Wyoming,,Cincinnati,OH,"39.233295, -84.470133",1:38.81,swdistrict24,yes
5,A,,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",1:38.99,nwdistrict24,yes
6,A,,DOA,Oakwood,,Dayton,OH,"39.720838, -84.171489",1:39.26,swdistrict24,
7,A,,KRO,Roosevelt,,Kent,OH,"41.168809, -81.355950",1:39.31,nedistrict24,yes
8,A,,BEA,Beachwood,,Beachwood,OH,"41.484048, -81.501324",1:39.57,nedistrict24,
9,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",1:39.67,swdistrict24,
10,A,,MLC,Lake Catholic,,Mentor,OH,"41.688021, -81.375817",1:40.32,nedistrict24,
11,A,,LSH,Shawnee,,Lima,OH,"40.692716, -84.167619",1:40.34,nwdistrict24,
12,A,,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",1:40.35,central24,yes
13,A,,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",1:40.36,nwdistrict24,
14,A,,SMM,St. Marys Memorial,,St. Marys,OH,"40.558323, -84.374242",1:40.39,nwdistrict24,
15,A,,SPE,Perkins,,Sandusky,OH,"41.412915, -82.702217",1:40.48,nwdistrict24,
16,A,,CAN,Canfield,,Canfield,OH,"41.028312, -80.773217",1:40.55,nedistrict24,
17,A,,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",1:41.01,nedistrict24,
18,A,,GVV,Valley View,,Germantown,OH,"39.656697, -84.398324",1:41.12,swdistrict24,
19,A,,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",1:41.14,nedistrict24,
20,A,,TPA,Athens,,The Plains,OH,"39.372428, -82.128025",1:41.32,central24,yes
21,A,,BELB,Bellbrook,,Bellbrook,OH,"39.652774, -84.067779",1:41.77,swdistrict24,
22,A,,CBW,Bishop Watterson,,Columbus,OH,"40.048986, -83.016282",1:42.04,central24,
23,A,,MAD,Madison,,Madison,OH,"41.790335, -81.067630",1:42.30,nedistrict24,
24,A,,SCL,St. Clairsville,,St. Clairsville,OH,"40.079640, -80.896491",1:42.42,central24,
25,A,,RORV,Rocky River,,Rocky River,OH,"41.473668, -81.851096",1:42.42,nedistrict24,
26,A,,WAP,Wapakoneta,,Wapakoneta,OH,"40.583246, -84.194470",1:42.49,nwdistrict24,
27,A,,CHA,Chardon,,Chardon,OH,"41.591271, -81.200412",1:43.09,nedistrict24,
28,A,,GRA,Granville,,Granville,OH,"40.078761, -82.527668",1:43.16,central24,
29,A,,VANB,Butler,,Vandalia,OH,"39.885121, -84.197325",1:43.39,swdistrict24,
30,A,,HBA,Badin,,Hamilton,OH,"39.395388, -84.592393",1:43.79,swdistrict24,
31,A,,MPE,Perry,,Massillon,OH,"40.789187, -81.462916",1:43.82,nedistrict24,
32,A,,BVB,Bay,,Bay Village,OH,"41.486992, -81.943391",1:44.31,nedistrict24,
33,A,,AAHO,Archbishop Hoban,,Akron,OH,"41.062341, -81.496088",1:44.32,nedistrict24,
34,A,,EAT,Eaton,,Eaton,OH,"39.732767, -84.649014",1:44.39,swdistrict24,
35,A,,DTV,Tri-Valley,,Dresden,OH,"40.120914, -82.004689",1:44.44,central24,
36,A,,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",1:44.74,swdistrict24,
37,A,,COTW,The Wellington School,nhs,Columbus,OH,"40.031251, -83.064231",1:44.78,central24,
38,A,,PSE,Poland Seminary,,Poland,OH,"41.004101, -80.591280",1:45.05,nedistrict24,
39,A,,AUR,Aurora,,Aurora,OH,"41.310991, -81.350809",1:45.07,nedistrict24,
40,A,,RRE,Revere,,Richfield,OH,"41.201648, -81.616891",1:45.13,nedistrict24,
41,A,,CHI,Chillicothe,,Chillicothe,OH,"39.341998, -82.988352",1:45.17,central24,
42,A,,BLUF,Bluffton,,Bluffton,OH,"40.892504, -83.893380",1:45.25,nwdistrict24,
