rk,nm,gr,sc,sh,ct,st,ll,ti,mt,auto,shx
1,Emily Brown,Sr,DCO,Dublin Coffman,Dublin,OH,"40.107364, -83.130928",1:58.34,central24,yes,
2,Maya Schweikert,So,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",2:03.79,swdistrict24,yes,
3,Riley Hollingsworth,Fr,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",2:04.55,central24,yes,
4,Dana Fairbanks,So,MAS,Mason,Mason,OH,"39.351367, -84.306013",2:04.93,swdistrict24,yes,
5,Alexis Peltcs,So,HDAR,Hilliard Darby,Hilliard,OH,"40.035388, -83.168105",2:05.51,central24,yes,
6,Alyssa Uhlman,So,CURA,Ursuline,Cincinnati,OH,"39.247894, -84.371321",2:05.62,swdistrict24,yes,Academy
7,Chloe Otten,Sr,BVC,Beavercreek,Beavercreek,OH,"39.720416, -84.033778",2:05.95,swdistrict24,,
8,Aubrey Buchanan,Fr,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",2:06.39,swdistrict24,,Academy
9,Chloe Wall,Jr,MAS,Mason,Mason,OH,"39.351367, -84.306013",2:06.52,swdistrict24,,
10,Taylor Devorace,Sr,RORV,Rocky River,Rocky River,OH,"41.473668, -81.851096",2:07.03,nwdistrict24,yes,
11,Anna Gearhart,Sr,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",2:07.16,swdistrict24,,
12,Sofia Matern,Sr,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",2:07.90,swdistrict24,,
13,Lauren Moorhead,Jr,LCOR,Olentangy Orange,Lewis Center,OH,"40.171851, -82.978987",2:08.31,central24,,
14,Riley Kleinfelder,So,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",2:08.46,swdistrict24,,Academy
15,Sierra Kobak,So,AVO,Avon,Avon,OH,"41.444579, -82.037907",2:09.18,nwdistrict24,yes,
16,Sara Baylor,Jr,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",2:09.76,nedistrict24,yes,
17,Abby Oliphant,So,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",2:10.03,central24,,
18,Eva Molenaar,Sr,AVO,Avon,Avon,OH,"41.444579, -82.037907",2:10.11,nwdistrict24,yes,
19,Madelyn Bosler,Sr,WNO,Westerville North,Westerville,OH,"40.132830, -82.897903",2:10.27,central24,,
20,Ashton Mumaw,So,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",2:10.29,central24,,
21,Darby Murlin,Sr,SHT,Shaker Heights,Shaker Heights,OH,"41.473276, -81.568492",2:10.47,nedistrict24,yes,
22,Ashleigh Bender,Sr,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",2:10.55,swdistrict24,,
23,Sydney Peterson,Sr,GGR,Green,Uniontown,OH,"40.957684, -81.473300",2:10.56,nedistrict24,yes,
24,Natalie Holub,Jr,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",2:10.78,central24,,
25,Carolyn Wanosik,Sr,RORV,Rocky River,Rocky River,OH,"41.473668, -81.851096",2:11.65,nwdistrict24,,
26,Hannah Wentzel,Sr,KFA,Kettering Fairmont,Kettering,OH,"39.698839, -84.164473",2:11.82,swdistrict24,,
27,Anna Helmuth,So,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",2:12.07,nedistrict24,,
28,Natalie Fada,Fr,LTLE,Lakota East,Liberty Township,OH,"39.379273, -84.371020",2:12.34,swdistrict24,,
29,Alessandra Gerber,Fr,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",2:12.42,nedistrict24,,
30,Alli Funge,So,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",2:12.46,central24,,
31,Sarah Schueler,So,AFI,Firestone,Akron,OH,"41.118939, -81.564683",2:12.91,nedistrict24,,
32,Natalie Fiant,Sr,DHA,Hayes,Delaware,OH,"40.310505, -83.080234",2:13.38,central24,,
33,Olivia Hastings,Sr,MAS,Mason,Mason,OH,"39.351367, -84.306013",2:13.47,swdistrict24,,
34,Andrya Carlson,So,LEB,Lebanon,Lebanon,OH,"39.463762, -84.181354",2:13.64,swdistrict24,,
35,Mia Harms,Fr,TSUA,St. Ursula,Toledo,OH,"41.670864, -83.640240",2:13.74,nwdistrict24,,Academy
36,Mallory Syrek,So,WAW,Anthony Wayne,Whitehouse,OH,"41.532495, -83.779770",2:14.18,nwdistrict24,,
37,Bianca Jha,Sr,MAS,Mason,Mason,OH,"39.351367, -84.306013",2:14.36,swdistrict24,,
38,Suhani Prakash,So,CSYC,Sycamore,Cincinnati,OH,"39.267037, -84.352090",2:14.37,swdistrict24,,
39,Raine Deangelis,So,WES,Westlake,Westlake,OH,"41.460632, -81.928970",2:15.05,nwdistrict24,,
40,Sophie Sperber,So,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",2:15.18,swdistrict24,,
41,Shay Herr,So,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",2:15.26,swdistrict24,,Academy
42,Hailey Wills,Sr,CSET,Seton,Cincinnati,OH,"39.112886, -84.578631",2:15.60,swdistrict24,,
43,Taylor Braun,Jr,GLI,Gahanna Lincoln,Gahanna,OH,"40.016451, -82.865533",2:15.68,central24,,
44,Zaida Wagner,Jr,CMND,Mount Notre Dame,Cincinnati,OH,"39.220733, -84.429845",2:16.07,swdistrict24,,
45,Elizabeth Sidener,Sr,WAP,Wapakoneta,Wapakoneta,OH,"40.583246, -84.194470",2:16.08,nwdistrict24,,
46,Megan Evans,Sr,FRO,Fremont Ross,Fremont,OH,"41.362541, -83.123975",2:16.08,nwdistrict24,,
47,Violet Siftar,Sr,AVO,Avon,Avon,OH,"41.444579, -82.037907",2:16.17,nwdistrict24,,
48,Audrey Ehret,Fr,DCO,Dublin Coffman,Dublin,OH,"40.107364, -83.130928",2:16.25,central24,,
49,Madi Meeting,Fr,ASH,Ashland,Ashland,OH,"40.854435, -82.325601",2:16.55,nwdistrict24,,
50,Reagan Henely,So,GMI,Midview,Grafton,OH,"41.302620, -82.063503",2:16.84,nwdistrict24,,
51,Brooke Radcliff,Sr,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",2:17.11,nedistrict24,,
52,Olivia Wilson,Sr,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",2:17.15,swdistrict24,,
53,Madison Andres,Sr,MEN,Mentor,Mentor,OH,"41.694749, -81.336990",2:17.24,nedistrict24,,
54,Tanvi Bole,Fr,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",2:17.33,swdistrict24,,
55,Kaylyn MacEchko,So,OTA,Talawanda,Oxford,OH,"39.489855, -84.732758",2:17.42,swdistrict24,,
56,Hannah Kelly,Fr,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",2:17.50,central24,,
57,Maggie Muster,Fr,BVC,Beavercreek,Beavercreek,OH,"39.720416, -84.033778",2:17.56,swdistrict24,,
58,Roan Stacey,So,WSO,Westerville South,Westerville,OH,"40.118040, -82.923453",2:17.68,central24,,
59,Anya Willett,Jr,LOUI,Louisville,Louisville,OH,"40.829441, -81.252604",2:17.69,nedistrict24,,
60,Nicole Mavrogianis,Sr,WHO,Howland,Warren,OH,"41.239850, -80.745293",2:17.93,nedistrict24,,
