rk,nm,gr,sc,sh,shx,ct,st,ll,ti,mt,auto
1,A,,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",3:28.07,nedistrict24,yes
2,A,,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",3:34.94,nedistrict24,yes
3,A,,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",3:35.15,swdistrict24,yes
4,A,,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",3:35.81,nedistrict24,
5,A,,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",3:37.73,swdistrict24,yes
6,A,,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",3:37.77,central24,yes
7,A,,CHCA,Cincinnati Hills Christian,Academy,Cincinnati,OH,"39.276971, -84.337058",3:38.37,swdistrict24,
8,A,,PTCL,Port Clinton,,Port Clinton,OH,"41.503497, -82.937835",3:40.69,nwdistrict24,yes
9,A,,NRCC,Colonel Crawford,,North Robinson,OH,"40.788253, -82.855703",3:40.89,nwdistrict24,yes
10,A,,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",3:41.57,swdistrict24,
11,A,,DOA,Oakwood,,Dayton,OH,"39.720838, -84.171489",3:41.79,swdistrict24,
12,A,,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",3:42.81,nwdistrict24,
13,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",3:43.35,swdistrict24,
14,A,,CWYO,Wyoming,,Cincinnati,OH,"39.233295, -84.470133",3:44.27,swdistrict24,
15,A,,MLC,Lake Catholic,,Mentor,OH,"41.688021, -81.375817",3:44.41,nedistrict24,
16,A,,TPA,Athens,,The Plains,OH,"39.372428, -82.128025",3:44.86,central24,yes
17,A,,LEX,Lexington,,Lexington,OH,"40.672877, -82.586867",3:46.44,nwdistrict24,
18,A,,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",3:46.55,central24,
19,A,,BRY,Bryan,,Bryan,OH,"41.457279, -84.568132",3:47.14,nwdistrict24,
20,A,,PPO,Orange,,Pepper Pike,OH,"41.458036, -81.454526",3:47.34,nedistrict24,
21,A,,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",3:48.22,swdistrict24,
22,A,,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",3:48.73,nedistrict24,
23,A,,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",3:49.48,nwdistrict24,
24,A,,TOH,Ottawa Hills,,Ottawa Hills,OH,"41.669832, -83.631424",3:49.49,nwdistrict24,
25,A,,COSG,Columbus School for Girls,nhs,Columbus,OH,"39.968086, -82.938260",3:50.08,central24,
26,A,,GRA,Granville,,Granville,OH,"40.078761, -82.527668",3:50.45,central24,
27,A,,ONT,Ontario,,Ontario,OH,"40.764612, -82.647690",3:51.44,nwdistrict24,
28,A,,SBRB,Roger Bacon,,Cincinnati,OH,"39.162903, -84.502332",3:51.69,swdistrict24,
29,A,,COL,Coldwater,,Coldwater,OH,"40.481679, -84.629590",3:51.90,nwdistrict24,
30,A,,USA,Upper Sandusky,,Upper Sandusky,OH,"40.840597, -83.281129",3:51.96,nwdistrict24,
31,A,,NMS,Springfield,,New Middletown,OH,"40.95505570899591, -80.54822234264678",3:52.18,nedistrict24,
32,A,,SPE,Perkins,,Sandusky,OH,"41.412915, -82.702217",3:52.23,nwdistrict24,
33,A,,SMM,St. Marys Memorial,,St. Marys,OH,"40.558323, -84.374242",3:52.42,nwdistrict24,
34,A,,AAHO,Archbishop Hoban,,Akron,OH,"41.062341, -81.496088",3:55.15,nedistrict24,
35,A,,CSHU,Seven Hills,School,Cincinnati,OH,"39.166755, -84.402521",3:55.35,swdistrict24,
36,A,,NAP,Napoleon,,Napoleon,OH,"41.390402, -84.147467",3:55.62,nwdistrict24,
37,A,,HBA,Badin,,Hamilton,OH,"39.395388, -84.592393",3:58.11,swdistrict24,
38,A,,CNDC,Notre Dame-Cathedral Latin,,Chardon,OH,"41.514751, -81.249669",3:58.37,nedistrict24,
39,A,,DTMV,Miami Valley,School,Dayton,OH,"39.673395, -84.180330",4:00.12,swdistrict24,
40,A,,CLUB,Columbiana,,Columbiana,OH,"40.880808, -80.680837",4:00.60,nedistrict24,
41,A,,MPE,Perry,,Massillon,OH,"40.789187, -81.462916",4:00.78,nedistrict24,
42,A,,WAU,Wauseon,,Wauseon,OH,"41.553403, -84.127931",4:02.14,nwdistrict24,
43,A,,BOT,Botkins,,Botkins,OH,"40.468867, -84.179626",4:02.40,swdistrict24,
44,A,,CAN,Canfield,,Canfield,OH,"41.028312, -80.773217",4:02.53,nedistrict24,
45,A,,SCL,St. Clairsville,,St. Clairsville,OH,"40.079640, -80.896491",4:04.71,central24,
46,A,,CAMA,Margaretta,,Castalia,OH,"41.399284, -82.801295",4:06.04,nwdistrict24,
47,A,,AMA,Marlington,,Alliance,OH,"40.922987, -81.181719",4:06.75,nedistrict24,
48,A,,HUR,Huron,,Huron,OH,"41.397835, -82.564695",4:08.22,nwdistrict24,
49,A,,XLC,Legacy Christian Academy,nhs,Xenia,OH,"39.669935, -83.923428",4:08.63,swdistrict24,
50,A,,WRV,River View,,Warsaw,OH,"40.339216, -81.959144",4:09.07,central24,
51,A,,NSP,St. Paul,,Norwalk,OH,"41.245079, -82.611465",4:09.21,nwdistrict24,
52,A,,CMM,Mercy McAuley,,Cincinnati,OH,"39.200829, -84.553397",4:09.47,swdistrict24,
53,A,,CTAY,Taylor,,Cleves,OH,"39.170977, -84.751319",4:11.27,swdistrict24,
54,A,,SSMC,St. Mary Central Catholic,,Sandusky,OH,"41.451012, -82.711819",4:12.35,nwdistrict24,
55,A,,ELLD,Elida,,Elida,OH,"40.789575, -84.195603",4:12.47,nwdistrict24,
56,A,,COSH,Coshocton,,Coshocton,OH,"40.258313, -81.845642",4:12.66,central24,
57,A,,KEN,Kenton,,Kenton,OH,"40.653701, -83.595710",4:12.92,nwdistrict24,
