rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:33.34,"23.40,23.74,23.61,22.59;L. Oliphant,A. Mumaw,R. Hollingsworth,H. Hollingsworth",,
2,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:36.47,"24.69,24.21,23.59,23.98;L. Rhoten,C. Wall,I. Teply,K. Weitz",,
3,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:36.70,"23.82,24.85,24.85,23.18;M. Leonard,E. Bowman,A. Thomas,O. Matson",,
4,A,,CURA,Ursuline,Cincinnati,OH,"39.247894, -84.371321",1:37.10,"24.39,24.50,23.98,24.23;N. Smyth,S. Molina,M. Eckman,L. Habel",,Academy
5,A,,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",1:37.16,"24.56,24.33,24.34,23.93;A. Zimmerman,N. Gockerman,S. Herr,C. Lied",,Academy
6,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:37.65,"24.63,24.27,24.96,23.79;M. Gregory,S. Slagle,T. Toler,A. Morr",,
7,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",1:39.15,"25.62,25.12,24.53,23.88;K. Ataya,A. Lewis,A. Manofsky,N. Shulik",,
8,A,,GGR,Green,Uniontown,OH,"40.957684, -81.473300",1:39.41,"24.12,26.47,24.71,24.11;O. Scheibelhoffer,E. Edwards,L. Swartzwelder,S. Peterson",,
9,A,,LOUI,Louisville,Louisville,OH,"40.829441, -81.252604",1:39.97,"25.33,25.53,24.41,24.70;K. Kocher,A. Willett,L. Claugus,K. Claugus",,
10,A,,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",1:40.03,"25.24,24.42,25.42,24.95;L. Blankenship,L. Roberts,O. Wilson,K. Wilver",,
11,A,,FRO,Fremont Ross,Fremont,OH,"41.362541, -83.123975",1:40.10,"25.37,25.48,25.31,23.94;K. Krieger,M. Evans,S. Weickert,C. Stevenson",,
12,A,,DOB,Olentangy Berlin,Delaware,OH,"40.254987, -83.002974",1:40.26,"25.58,24.68,26.51,23.49;J. Robinson,B. Mowrey,C. Rousher,L. Nebraska",,
13,A,,CSET,Seton,Cincinnati,OH,"39.112886, -84.578631",1:40.27,"25.62,25.45,24.85,24.35;H. Wills,J. Aull,C. Smitherman,M. Roos",,
14,A,,YBO,Boardman,Youngstown,OH,"41.011154, -80.668442",1:40.42,"25.91,25.96,25.09,23.46;P. Crnjak,A. Mihok,G. Dinapoli,A. Taylor",,
15,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",1:40.44,"25.16,24.60,24.88,25.80;M. Drolshagen,A. Sawicki,S. Baylor,L. Thomas",,
16,A,,MEN,Mentor,Mentor,OH,"41.694749, -81.336990",1:40.60,"25.41,26.05,24.96,24.18;R. Gemmen,M. Childs,J. Slaninka,A. Berrow",,
17,A,,AVO,Avon,Avon,OH,"41.444579, -82.037907",1:40.60,"25.25,24.75,25.20,25.40;E. Molenaar,E. Molenaar,V. Siftar,A. Porr",,
18,A,,DHA,Hayes,Delaware,OH,"40.310505, -83.080234",1:40.65,"25.23,26.21,24.95,24.26;A. Lance,B. Rauh,M. Saksa,N. Fiant",,
19,A,,MPE,Perry,Massillon,OH,"40.789187, -81.462916",1:40.73,"24.79,26.72,25.63,23.59;G. Yoder,A. Becherer,L. Bracken,S. Baker",,
20,A,,RORV,Rocky River,Rocky River,OH,"41.473668, -81.851096",1:40.76,"25.19,24.41,25.49,25.67;C. Wanosik,T. Devorace,K. Heavey,B. McDougal",,
21,A,,CMND,Mount Notre Dame,Cincinnati,OH,"39.220733, -84.429845",1:41.04,"25.34,25.29,25.93,24.48;K. Ryan,Z. Wagner,A. Gruber,A. Hoffman",,
22,A,,MNO,Nordonia,Macedonia,OH,"41.301860, -81.510625",1:41.20,"24.73,25.74,26.61,24.12;H. Kaminski,A. Smajlovic,P. Pelkowski,E. Yorkievitz",,
23,A,,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",1:41.26,"25.57,25.40,25.50,24.79;A. Gerber,M. Green,L. Hershberger,P. Udell",,
24,A,,BVC,Beavercreek,Beavercreek,OH,"39.720416, -84.033778",1:41.54,"25.87,25.54,26.07,24.06;M. Silcott,L. Kochersperger,A. Schmidt,C. Otten",,
