rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:43.72,"27.10,29.12,23.82,23.68;A. Oliphant,M. Freiburger,H. Hollingsworth,M. Berg",,
2,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:44.81,"26.26,29.87,25.02,23.66;D. Fairbanks,J. Gregory,A. Soehnlen,K. Weitz",,
3,A,,DCO,Dublin Coffman,Dublin,OH,"40.107364, -83.130928",1:45.27,"27.39,28.25,25.88,23.75;J. Brown,E. Brown,R. Ding,K. Kollin",,
4,A,,AVO,Avon,Avon,OH,"41.444579, -82.037907",1:45.58,"25.37,30.38,25.74,24.09;A. Downing,S. Kobak,E. Molenaar,E. Molenaar",,
5,A,,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",1:45.85,"26.56,28.94,26.37,23.98;S. Herr,A. Buchanan,R. Kleinfelder,A. Zimmerman",,Academy
6,A,,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",1:45.89,"27.40,30.64,24.66,23.19;S. Crum,A. Bender,M. Schweikert,F. Rudowski",,
7,A,,CURA,Ursuline,Cincinnati,OH,"39.247894, -84.371321",1:46.20,"27.25,29.54,25.46,23.95;K. Wood,A. Uhlman,G. Gordon,M. Eckman",,Academy
8,A,,TSUA,St. Ursula,Toledo,OH,"41.670864, -83.640240",1:46.57,"26.04,30.53,26.28,23.72;M. Buff,M. Harms,K. Freeworth,A. Harms",,Academy
9,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",1:46.73,"28.38,28.96,25.62,23.77;B. Radcliff,A. Helmuth,M. Lochridge,A. Carosielli",,
10,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",1:47.28,"27.30,30.87,24.91,24.20;T. Bole,S. Narayanan,A. Gearhart,C. Kien",,
11,A,,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",1:47.34,"26.83,29.01,26.11,25.39;S. Matern,Q. Schureck,L. Sellinger,E. Hou",,
12,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:47.76,"27.55,29.55,25.96,24.70;S. Visurakapalli,A. Brink,E. Bowman,A. Thomas",,
13,A,,DHA,Hayes,Delaware,OH,"40.310505, -83.080234",1:48.00,"28.44,29.40,26.08,24.08;M. Saksa,K. Glesenkamp,A. Lance,N. Fiant",,
14,A,,SHT,Shaker Heights,Shaker Heights,OH,"41.473276, -81.568492",1:48.10,"27.68,30.13,25.36,24.93;E. Murlin,L. Holda,D. Murlin,A. Kuhel",,
15,A,,YBO,Boardman,Youngstown,OH,"41.011154, -80.668442",1:48.48,"28.44,30.89,25.89,23.26;A. Murray,P. Crnjak,G. Dinapoli,A. Taylor",,
16,A,,AFI,Firestone,Akron,OH,"41.118939, -81.564683",1:48.73,"27.14,29.85,26.69,25.05;A. Sevald,S. Schueler,J. Quernemoen,E. Nixon",,
17,A,,MPE,Perry,Massillon,OH,"40.789187, -81.462916",1:49.91,"25.92,30.97,27.84,25.18;S. Baker,G. Yoder,B. Becherer,L. Bracken",,
18,A,,MEN,Mentor,Mentor,OH,"41.694749, -81.336990",1:50.06,"28.77,31.16,26.18,23.95;M. Childs,M. Andres,R. Gemmen,A. Berrow",,
19,A,,GGR,Green,Uniontown,OH,"40.957684, -81.473300",1:50.20,"26.94,33.77,24.94,24.55;O. Scheibelhoffer,E. Edwards,S. Peterson,L. Swartzwelder",,
20,A,,LEB,Lebanon,Lebanon,OH,"39.463762, -84.181354",1:50.71,"28.08,31.19,25.67,25.77;K. Maines,A. Carlson,E. Ketcham,T. Hensley",,
21,A,,WKI,Worthington Kilbourne,Worthington,OH,"40.115217, -83.055895",1:50.87,"27.41,32.65,25.94,24.87;A. Goodrich,A. Wells,M. Richner,L. Banner",,
22,A,,BRU,Brunswick,Brunswick,OH,"41.241619, -81.815475",1:51.49,"27.99,31.64,26.95,24.91;L. Richard,R. Sheets,A. Dragan,L. Giacomazza",,
23,A,,KFA,Kettering Fairmont,Kettering,OH,"39.698839, -84.164473",1:51.81,"27.31,32.22,26.95,25.33;H. Wentzel,N. Erling,R. Mitter,A. Chromick",,
24,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",1:52.14,"27.86,31.75,27.64,24.89;G. Micelli,A. Ham,L. Bossart,K. Ataya",,
