rk,nm,gr,sc,sh,ct,st,ll,ti,mt,auto,shx
1,A,,CLSI,St. Ignatius,Cleveland,OH,"41.482987, -81.706840",1:29.82,nwdistrict25,yes,
2,A,,COSC,St. Charles,Columbus,OH,"39.969651, -82.947449",1:31.80,central25,yes,Preparatory School
3,A,,CSTX,St. Xavier,Cincinnati,OH,"39.208760, -84.504478",1:32.14,swdistrict25,yes,
4,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:32.65,central25,yes,
5,A,,TSFD,St. Francis de Sales,Toledo,OH,"41.662272, -83.599113",1:32.78,nwdistrict25,yes,
6,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:34.08,swdistrict25,yes,
7,A,,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",1:35.30,swdistrict25,,
8,A,,CAMO,Archbishop Moeller,Cincinnati,OH,"39.220253, -84.358455",1:35.46,swdistrict25,,
9,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:36.67,central25,,
10,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",1:36.70,central25,,
11,A,,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",1:36.70,swdistrict25,,
12,A,,SOL,Solon,Solon,OH,"41.377670, -81.441060",1:36.80,nedistrict25,yes,
13,A,,DCO,Dublin Coffman,Dublin,OH,"40.107364, -83.130928",1:36.99,central25,,
14,A,,CIE,Elder,Cincinnati,OH,"39.112117, -84.580179",1:37.12,swdistrict25,,
15,A,,PICN,Pickerington North,Pickerington,OH,"39.908903, -82.733425",1:37.47,central25,,
16,A,,CSYC,Sycamore,Cincinnati,OH,"39.267037, -84.352090",1:37.80,swdistrict25,,
17,A,,LCO,Olentangy,Lewis Center,OH,"40.205092, -83.020650",1:37.84,central25,,
18,A,,VANB,Butler,Vandalia,OH,"39.885121, -84.197325",1:38.14,swdistrict25,,
19,A,,CFWJ,Walsh Jesuit,Cuyahoga Falls,OH,"41.192007, -81.496008",1:38.25,nedistrict25,yes,
20,A,,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",1:38.42,swdistrict25,,
21,A,,DHA,Hayes,Delaware,OH,"40.310505, -83.080234",1:38.76,central25,,
22,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",1:38.99,swdistrict25,,
23,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",1:39.51,nedistrict25,,
24,A,,BVC,Beavercreek,Beavercreek,OH,"39.720416, -84.033778",1:39.70,swdistrict25,,
25,A,,NRO,North Royalton,North Royalton,OH,"41.309129, -81.733185",1:39.94,nedistrict25,,
26,A,,WCLW,Lakota West,West Chester,OH,"39.330294, -84.431138",1:40.26,swdistrict25,,
27,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:40.32,central25,,
28,A,,WSO,Westerville South,Westerville,OH,"40.118040, -82.923453",1:40.45,central25,,
29,A,,OTA,Talawanda,Oxford,OH,"39.489855, -84.732758",1:40.51,swdistrict25,,
30,A,,NOL,North Olmsted,North Olmsted,OH,"41.406080, -81.925110",1:41.12,nwdistrict25,,
31,A,,WAD,Wadsworth,Wadsworth,OH,"41.021539, -81.710912",1:41.14,nwdistrict25,,
32,A,,AVO,Avon,Avon,OH,"41.444579, -82.037907",1:41.28,nwdistrict25,,
33,A,,MEN,Mentor,Mentor,OH,"41.694749, -81.336990",1:41.53,nedistrict25,,
34,A,,MLMI,Little Miami,Morrow,OH,"39.356626, -84.159580",1:41.80,swdistrict25,,
35,A,,SHT,Shaker Heights,Shaker Heights,OH,"41.473276, -81.568492",1:42.25,nedistrict25,,
36,A,,BHB,Brecksville-Broadview Heights,Broadview Heights,OH,"41.327207, -81.644428",1:42.71,nedistrict25,,
37,A,,MAY,Mayfield,Mayfield Village,OH,"41.536528, -81.459515",1:42.81,nedistrict25,,
38,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",1:42.99,nedistrict25,,
39,A,,COH,Oak Hills,Cincinnati,OH,"39.146768, -84.648598",1:43.29,swdistrict25,,
40,A,,SMF,Stow-Munroe Falls,Stow,OH,"41.168063, -81.397098",1:43.40,nedistrict25,,
41,A,,LAN,Lancaster,Lancaster,OH,"39.732823, -82.585982",1:43.47,central25,,
42,A,,FAFD,Fairfield,Fairfield,OH,"39.336613, -84.518230",1:43.57,swdistrict25,,
43,A,,PWM,Watkins Memorial,Pataskala,OH,"39.963044, -82.649949",1:43.76,central25,,
44,A,,MHI,Highland,Medina,OH,"41.162963, -81.742743",1:43.76,nwdistrict25,,
45,A,,STRG,Strongsville,Strongsville,OH,"41.303367, -81.845993",1:43.92,nwdistrict25,,
46,A,,WES,Westlake,Westlake,OH,"41.460632, -81.928970",1:43.96,nwdistrict25,,
47,A,,HDAR,Hilliard Darby,Hilliard,OH,"40.035388, -83.168105",1:44.01,central25,,
48,A,,BELB,Bellbrook,Bellbrook,OH,"39.652774, -84.067779",1:44.10,swdistrict25,,
49,A,,MNO,Nordonia,Macedonia,OH,"41.301860, -81.510625",1:44.13,nedistrict25,,
50,A,,SYSO,Sylvania Southview,Sylvania,OH,"41.687547, -83.716431",1:44.58,nwdistrict25,,
51,A,,TRO,Troy,Troy,OH,"40.045804, -84.201045",1:44.73,swdistrict25,,
52,A,,OFA,Olmsted Falls,Olmsted Falls,OH,"41.370945, -81.926820",1:44.95,nwdistrict25,,
53,A,,WAW,Anthony Wayne,Whitehouse,OH,"41.532495, -83.779770",1:44.95,nwdistrict25,,
54,A,,CNM,Northmont,Clayton,OH,"39.872448, -84.346116",1:44.98,swdistrict25,,
55,A,,NPH,New Philadelphia,New Philadelphia,OH,"40.494380, -81.450237",1:45.45,nedistrict25,,
56,A,,LCOR,Olentangy Orange,Lewis Center,OH,"40.171851, -82.978987",1:45.60,central25,,
57,A,,MARY,Marysville,Marysville,OH,"40.250365, -83.381003",1:46.10,central25,,
58,A,,CIAN,Anderson,Cincinnati,OH,"39.069607, -84.348721",1:46.11,swdistrict25,,
59,A,,SBW,Big Walnut,Sunbury,OH,"40.234619, -82.858283",1:46.13,central25,,
60,A,,TSJJ,St. John's Jesuit,Toledo,OH,"41.612906, -83.682217",1:46.23,nwdistrict25,,
61,A,,WNO,Westerville North,Westerville,OH,"40.132830, -82.897903",1:46.61,central25,,
62,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",1:46.64,nedistrict25,,
63,A,,HBRD,Hilliard Bradley,Hilliard,OH,"40.006544, -83.201645",1:46.79,central25,,
64,A,,CGL,Glenoak,Canton,OH,"40.869041, -81.350629",1:47.05,nedistrict25,,
65,A,,PNO,Normandy,Parma,OH,"41.362532, -81.699017",1:47.30,nedistrict25,,
66,A,,PERB,Perrysburg,Perrysburg,OH,"41.519172, -83.653030",1:47.42,nwdistrict25,,
67,A,,CUFA,Cuyahoga Falls,Cuyahoga Falls,OH,"41.139572, -81.487302",1:47.58,nedistrict25,,
68,A,,NORI,North Ridgeville,North Ridgeville,OH,"41.388373, -82.001676",1:47.62,nwdistrict25,,
69,A,,SAN,Sandusky,Sandusky,OH,"41.434338, -82.712499",1:47.79,nwdistrict25,,
70,A,,AUR,Aurora,Aurora,OH,"41.310991, -81.350809",1:47.80,nedistrict25,,
71,A,,ALA,Avon Lake,Avon Lake,OH,"41.508504, -82.017464",1:47.95,nwdistrict25,,
72,A,,SYNO,Sylvania Northview,Sylvania,OH,"41.712761, -83.710366",1:47.98,nwdistrict25,,
73,A,,KFA,Kettering Fairmont,Kettering,OH,"39.698839, -84.164473",1:48.09,swdistrict25,,
74,A,,YBO,Boardman,Youngstown,OH,"41.011154, -80.668442",1:48.17,nedistrict25,,
75,A,,ENO,North,Eastlake,OH,"41.651278, -81.446020",1:48.22,nedistrict25,,
76,A,,MANF,Mansfield Senior,Mansfield,OH,"40.762495, -82.543384",1:48.34,nwdistrict25,,
77,A,,GLI,Gahanna Lincoln,Gahanna,OH,"40.016451, -82.865533",1:48.64,central25,,
78,A,,ASH,Ashland,Ashland,OH,"40.854435, -82.325601",1:48.69,nwdistrict25,,
79,A,,WLSO,South,Willoughby,OH,"41.624763, -81.421267",1:48.72,nedistrict25,,
80,A,,WKI,Worthington Kilbourne,Worthington,OH,"40.115217, -83.055895",1:48.75,central25,,
81,A,,FRO,Fremont Ross,Fremont,OH,"41.362541, -83.123975",1:49.11,nwdistrict25,,
82,A,,MED,Medina,Medina,OH,"41.144765, -81.850433",1:49.30,nwdistrict25,,
83,A,,DOV,Dover,Dover,OH,"40.523320, -81.481673",1:49.75,nedistrict25,,
84,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",1:50.29,central25,,
85,A,,CPR,Princeton,Cincinnati,OH,"39.275043, -84.446997",1:50.46,swdistrict25,,
86,A,,LSE,St. Edward,Lakewood,OH,"41.485780, -81.784512",1:51.35,nwdistrict25,,
87,A,,ATV,Teays Valley,Ashville,OH,"39.722530, -82.945641",1:51.42,central25,,
88,A,,CLH,Cleveland Heights,Cleveland Heights,OH,"41.502378, -81.562969",1:51.67,nedistrict25,,
89,A,,MVE,Mount Vernon,Mount Vernon,OH,"40.378420, -82.474474",1:51.97,central25,,
90,A,,TWH,Whitmer,Toledo,OH,"41.718616, -83.611156",1:52.52,nwdistrict25,,
91,A,,RRE,Revere,Richfield,OH,"41.201648, -81.616891",1:56.54,nedistrict25,,
92,A,,LOUI,Louisville,Louisville,OH,"40.829441, -81.252604",1:57.19,nedistrict25,,
93,A,,LAKE,Lakewood,Lakewood,OH,"41.480834, -81.791732",1:57.45,nwdistrict25,,
