rk,nm,gr,sc,sh,ct,st,ll,ti,mt,auto,shx
1,Cooper Burt,Sr,HRO,Ross,Hamilton,OH,"39.329713, -84.635037",48.80,swdistrict25,yes,
2,Paul Moody,Jr,HVUS,University School,Hunting Valley,OH,"41.485518, -81.427641",49.87,nedistrict25,yes,nhs
3,Jack Mahaffey,So,COTW,The Wellington School,Columbus,OH,"40.031251, -83.064231",50.02,central25,yes,nhs
4,Levi Priddy,Jr,BRV,River Valley,Bidwell,OH,"38.918044, -82.289281",50.85,central25,yes,
5,Hayden Price,Sr,CAN,Canfield,Canfield,OH,"41.028312, -80.773217",51.39,nedistrict25,yes,
6,Jacob Rider,Sr,CBW,Bishop Watterson,Columbus,OH,"40.048986, -83.016282",51.40,central25,yes,
7,Danny Beyerbach,So,CSHU,Seven Hills,Cincinnati,OH,"39.166755, -84.402521",51.48,swdistrict25,yes,School
8,Cam Mateyo,Sr,CFA,Chagrin Falls,Chagrin Falls,OH,"41.426720, -81.379278",52.01,nedistrict25,yes,
9,Leo Gustavsson,Sr,CPUM,Purcell Marian,Cincinnati,OH,"39.130835, -84.475433",52.03,swdistrict25,yes,
10,AJ Lawler,Jr,DTV,Tri-Valley,Dresden,OH,"40.120914, -82.004689",52.84,central25,,
11,Ben Craig,Sr,ALL,Alliance,Alliance,OH,"40.911356, -81.111221",53.06,nedistrict25,,
12,Toby Rogers,Jr,CHA,Chardon,Chardon,OH,"41.591271, -81.200412",53.14,nedistrict25,,
13,Jason Starodub,Jr,CICD,Cincinnati Country Day,Cincinnati,OH,"39.185750, -84.327596",53.19,swdistrict25,,School
14,Jackson Bowlus,Jr,BLUF,Bluffton,Bluffton,OH,"40.892504, -83.893380",53.21,nwdistrict25,yes,
15,Logan Bernat,Sr,ONT,Ontario,Ontario,OH,"40.764612, -82.647690",53.41,nwdistrict25,yes,
16,Cole Long,So,LBE,Beaver,East Liverpool,OH,"40.711713, -80.630225",53.70,central25,,
17,AJ Springer,Sr,KRO,Roosevelt,Kent,OH,"41.168809, -81.355950",53.95,nedistrict25,,
18,Luke Filiatraut,So,BVB,Bay,Bay Village,OH,"41.486992, -81.943391",54.08,nedistrict25,,
19,Ryan Folger,Jr,SAL,Salem,Salem,OH,"40.907499, -80.844510",54.28,nedistrict25,,
20,Desmond Noone,Fr,CMAR,Mariemont,Cincinnati,OH,"39.144829, -84.365077",54.28,swdistrict25,,
21,Nico Benencia Courreges,Sr,TPA,Athens,The Plains,OH,"39.372428, -82.128025",54.50,central25,,
22,Ethan Liu,Fr,GCA,Columbus Academy,Gahanna,OH,"40.049132, -82.874035",54.92,central25,,nhs
