rk,nm,gr,sc,sh,ct,st,ll,ti,mt,auto,shx
1,A,,MLC,Lake Catholic,Mentor,OH,"41.688021, -81.375817",1:26.31,nedistrict25,yes,
2,A,,ONT,Ontario,Ontario,OH,"40.764612, -82.647690",1:27.21,nwdistrict25,yes,
3,A,,BEA,Beachwood,Beachwood,OH,"41.484048, -81.501324",1:27.33,nedistrict25,yes,
4,A,,HVUS,University School,Hunting Valley,OH,"41.485518, -81.427641",1:27.87,nedistrict25,,nhs
5,A,,CIIH,Indian Hill,Cincinnati,OH,"39.186177, -84.347006",1:28.33,swdistrict25,yes,
6,A,,KRO,Roosevelt,Kent,OH,"41.168809, -81.355950",1:28.98,nedistrict25,,
7,A,,RORV,Rocky River,Rocky River,OH,"41.473668, -81.851096",1:29.38,nedistrict25,,
8,A,,YUR,Ursuline,Youngstown,OH,"41.109849, -80.643130",1:29.95,nedistrict25,,
9,A,,GMGA,Gilmour Academy,Gates Mills,OH,"41.503717, -81.436852",1:30.11,nedistrict25,,nhs
10,A,,CWYO,Wyoming,Cincinnati,OH,"39.233295, -84.470133",1:30.12,swdistrict25,yes,
11,A,,CSHU,Seven Hills,Cincinnati,OH,"39.166755, -84.402521",1:30.31,swdistrict25,,School
12,A,,PPO,Orange,Pepper Pike,OH,"41.458036, -81.454526",1:30.36,nedistrict25,,
13,A,,PSE,Poland Seminary,Poland,OH,"41.004101, -80.591280",1:30.38,nedistrict25,,
14,A,,SMM,St. Marys Memorial,St. Marys,OH,"40.558323, -84.374242",1:30.89,nwdistrict25,yes,
15,A,,OGL,Ottawa-Glandorf,Ottawa,OH,"41.029142, -84.045968",1:31.44,nwdistrict25,,
16,A,,GCA,Columbus Academy,Gahanna,OH,"40.049132, -82.874035",1:31.49,central25,yes,nhs
17,A,,VWE,Van Wert,Van Wert,OH,"40.848872, -84.604743",1:31.53,nwdistrict25,,
18,A,,KAAL,Archbishop Alter,Kettering,OH,"39.679947, -84.151675",1:31.74,swdistrict25,,
19,A,,OHA,Oak Harbor,Oak Harbor,OH,"41.514006, -83.156594",1:31.96,nwdistrict25,,
20,A,,CHA,Chardon,Chardon,OH,"41.591271, -81.200412",1:32.09,nedistrict25,,
21,A,,CBW,Bishop Watterson,Columbus,OH,"40.048986, -83.016282",1:32.12,central25,yes,
22,A,,HUR,Huron,Huron,OH,"41.397835, -82.564695",1:32.20,nwdistrict25,,
23,A,,NRCC,Colonel Crawford,North Robinson,OH,"40.788253, -82.855703",1:32.22,nwdistrict25,,
24,A,,CMAR,Mariemont,Cincinnati,OH,"39.144829, -84.365077",1:32.26,swdistrict25,,
25,A,,BRY,Bryan,Bryan,OH,"41.457279, -84.568132",1:32.33,nwdistrict25,,
26,A,,CHCA,Cincinnati Hills Christian,Cincinnati,OH,"39.276971, -84.337058",1:32.34,swdistrict25,,Academy
27,A,,GMH,Hawken,Gates Mills,OH,"41.527105, -81.386570",1:32.54,nedistrict25,,School
28,A,,CAMA,Margaretta,Castalia,OH,"41.399284, -82.801295",1:32.59,nwdistrict25,,
29,A,,COGH,Grandview Heights,Columbus,OH,"39.984467, -83.048483",1:32.60,central25,,
30,A,,VINW,Warren,Vincent,OH,"39.388092, -81.663714",1:32.66,central25,,
31,A,,TPA,Athens,The Plains,OH,"39.372428, -82.128025",1:32.72,central25,,
32,A,,PTCL,Port Clinton,Port Clinton,OH,"41.503497, -82.937835",1:32.89,nwdistrict25,,
33,A,,CMAD,Madeira,Cincinnati,OH,"39.201309, -84.365563",1:33.01,swdistrict25,,
34,A,,CICD,Cincinnati Country Day,Cincinnati,OH,"39.185750, -84.327596",1:33.39,swdistrict25,,School
35,A,,AAHO,Archbishop Hoban,Akron,OH,"41.062341, -81.496088",1:34.01,nedistrict25,,
36,A,,NAP,Napoleon,Napoleon,OH,"41.390402, -84.147467",1:34.59,nwdistrict25,,
37,A,,WAU,Wauseon,Wauseon,OH,"41.553403, -84.127931",1:34.64,nwdistrict25,,
38,A,,SBRB,Roger Bacon,Cincinnati,OH,"39.162903, -84.502332",1:34.98,swdistrict25,,
39,A,,WHO,Howland,Warren,OH,"41.239850, -80.745293",1:35.00,nedistrict25,,
40,A,,ALL,Alliance,Alliance,OH,"40.911356, -81.111221",1:35.18,nedistrict25,,
41,A,,NBR,New Bremen,New Bremen,OH,"40.436355, -84.362117",1:35.41,nwdistrict25,,
42,A,,VER,Vermilion,Vermilion,OH,"41.411256, -82.357850",1:35.52,nwdistrict25,,
43,A,,CSCD,Summit Country Day,Cincinnati,OH,"39.129200, -84.459652",1:35.92,swdistrict25,,School
44,A,,CTAY,Taylor,Cleves,OH,"39.170977, -84.751319",1:36.01,swdistrict25,,
45,A,,LSH,Shawnee,Lima,OH,"40.692716, -84.167619",1:36.23,nwdistrict25,,
46,A,,GRA,Granville,Granville,OH,"40.078761, -82.527668",1:36.30,central25,,
47,A,,HRO,Ross,Hamilton,OH,"39.329713, -84.635037",1:36.62,swdistrict25,,
48,A,,LEX,Lexington,Lexington,OH,"40.672877, -82.586867",1:36.69,nwdistrict25,,
49,A,,DAY,Ayersville,Defiance,OH,"41.237270, -84.284488",1:36.82,nwdistrict25,,
50,A,,CFK,Kenston,Chagrin Falls,OH,"41.392195, -81.303848",1:37.48,nedistrict25,,
51,A,,LBE,Beaver,East Liverpool,OH,"40.711713, -80.630225",1:37.51,central25,,
52,A,,SMI,Smithville,Smithville,OH,"40.868792, -81.857939",1:37.56,nedistrict25,,
53,A,,DTV,Tri-Valley,Dresden,OH,"40.120914, -82.004689",1:37.69,central25,,
54,A,,BLUF,Bluffton,Bluffton,OH,"40.892504, -83.893380",1:37.95,nwdistrict25,,
55,A,,PER,Perry,Perry,OH,"41.773352, -81.140964",1:38.18,nedistrict25,,
56,A,,MAD,Madison,Madison,OH,"41.790335, -81.067630",1:38.72,nedistrict25,,
57,A,,SCL,St. Clairsville,St. Clairsville,OH,"40.079640, -80.896491",1:39.13,central25,,
58,A,,HBA,Badin,Hamilton,OH,"39.395388, -84.592393",1:39.33,swdistrict25,,
59,A,,USA,Upper Sandusky,Upper Sandusky,OH,"40.840597, -83.281129",1:39.51,nwdistrict25,,
60,A,,BARN,Barnesville,Barnesville,OH,"39.987000, -81.157205",1:39.56,central25,,
61,A,,BBL,Benjamin Logan,Bellefontaine,OH,"40.408941, -83.655001",1:39.59,swdistrict25,,
62,A,,DBV,Buckeye Valley,Delaware,OH,"40.348814, -83.091635",1:39.66,central25,,
63,A,,CNDC,Notre Dame-Cathedral Latin,Chardon,OH,"41.514751, -81.249669",1:39.80,nedistrict25,,
64,A,,BVB,Bay,Bay Village,OH,"41.486992, -81.943391",1:40.16,nedistrict25,,
65,A,,CAN,Canfield,Canfield,OH,"41.028312, -80.773217",1:40.25,nedistrict25,,
66,A,,SPE,Perkins,Sandusky,OH,"41.412915, -82.702217",1:40.26,nwdistrict25,,
