rk,nm,gr,sc,sh,shx,ct,st,ll,ti,mt,auto
1,A,,SHHB,Hathaway Brown,School,Shaker Heights,OH,"41.481311, -81.541815",1:44.03,nedistrict25,yes
2,A,,CHCA,Cincinnati Hills Christian,Academy,Cincinnati,OH,"39.276971, -84.337058",1:47.21,swdistrict25,yes
3,A,,COBX,Bexley,,Columbus,OH,"39.963819, -82.930349",1:48.74,central25,yes
4,A,,KAAL,Archbishop Alter,,Kettering,OH,"39.679947, -84.151675",1:48.76,swdistrict25,yes
5,A,,CIIH,Indian Hill,,Cincinnati,OH,"39.186177, -84.347006",1:48.99,swdistrict25,
6,A,,GMGA,Gilmour Academy,nhs,Gates Mills,OH,"41.503717, -81.436852",1:49.28,nedistrict25,yes
7,A,,CSHU,Seven Hills,School,Cincinnati,OH,"39.166755, -84.402521",1:50.98,swdistrict25,
8,A,,CAN,Canfield,,Canfield,OH,"41.028312, -80.773217",1:51.98,nedistrict25,
9,A,,NMS,Springfield,,New Middletown,OH,"40.95505570899591, -80.54822234264678",1:52.14,nedistrict25,
10,A,,LSH,Shawnee,,Lima,OH,"40.692716, -84.167619",1:52.34,nwdistrict25,yes
11,A,,LEX,Lexington,,Lexington,OH,"40.672877, -82.586867",1:52.40,nwdistrict25,yes
12,A,,SBRB,Roger Bacon,,Cincinnati,OH,"39.162903, -84.502332",1:52.56,swdistrict25,
13,A,,DOA,Oakwood,,Dayton,OH,"39.720838, -84.171489",1:53.17,swdistrict25,
14,A,,BRY,Bryan,,Bryan,OH,"41.457279, -84.568132",1:53.23,nwdistrict25,
15,A,,VERS,Versailles,,Versailles,OH,"40.213645, -84.486794",1:53.86,swdistrict25,
16,A,,CMAD,Madeira,,Cincinnati,OH,"39.201309, -84.365563",1:53.91,swdistrict25,
17,A,,SMM,St. Marys Memorial,,St. Marys,OH,"40.558323, -84.374242",1:53.96,nwdistrict25,
18,A,,CTAY,Taylor,,Cleves,OH,"39.170977, -84.751319",1:54.31,swdistrict25,
19,A,,OGL,Ottawa-Glandorf,,Ottawa,OH,"41.029142, -84.045968",1:54.43,nwdistrict25,
20,A,,CBH,Bishop Hartley,,Columbus,,"39.944917, -82.911518",1:54.56,central25,yes
21,A,,CMAR,Mariemont,,Cincinnati,OH,"39.144829, -84.365077",1:54.64,swdistrict25,
22,A,,NAP,Napoleon,,Napoleon,OH,"41.390402, -84.147467",1:54.84,nwdistrict25,
23,A,,CFA,Chagrin Falls,,Chagrin Falls,OH,"41.426720, -81.379278",1:55.06,nedistrict25,
24,A,,CSCD,Summit Country Day,School,Cincinnati,OH,"39.129200, -84.459652",1:56.20,swdistrict25,
25,A,,SPE,Perkins,,Sandusky,OH,"41.412915, -82.702217",1:56.28,nwdistrict25,
26,A,,DTMV,Miami Valley,School,Dayton,OH,"39.673395, -84.180330",1:56.82,swdistrict25,
27,A,,BLUF,Bluffton,,Bluffton,OH,"40.892504, -83.893380",1:56.83,nwdistrict25,
28,A,,TOH,Ottawa Hills,,Ottawa Hills,OH,"41.669832, -83.631424",1:57.85,nwdistrict25,
29,A,,SHL,Laurel,School,Shaker Heights,OH,"41.482303, -81.512783",1:58.14,nedistrict25,
30,A,,CAMN,Archbishop McNicholas,,Cincinnati,OH,"39.085974, -84.377135",1:58.15,swdistrict25,
31,A,,SKR,Kenton Ridge,,Springfield,OH,"39.986529, -83.762351",1:58.24,swdistrict25,
32,A,,ONT,Ontario,,Ontario,OH,"40.764612, -82.647690",1:58.28,nwdistrict25,
33,A,,GMH,Hawken,School,Gates Mills,OH,"41.527105, -81.386570",1:58.44,nedistrict25,
34,A,,DCJ,Chaminade Julienne,Catholic High School,Dayton,OH,"39.752383, -84.192223",1:58.50,swdistrict25,
35,A,,MNST,Minster,,Minster,OH,"40.401104, -84.379074",1:58.86,nwdistrict25,
36,A,,ELLD,Elida,,Elida,OH,"40.789575, -84.195603",1:59.03,nwdistrict25,
37,A,,OHA,Oak Harbor,,Oak Harbor,OH,"41.514006, -83.156594",1:59.12,nwdistrict25,
38,A,,CLUB,Columbiana,,Columbiana,OH,"40.880808, -80.680837",1:59.17,nedistrict25,
39,A,,MLC,Lake Catholic,,Mentor,OH,"41.688021, -81.375817",1:59.98,nedistrict25,
40,A,,SHEL,Shelby,,Shelby,OH,"40.890113, -82.673283",2:00.05,nwdistrict25,
41,A,,COL,Coldwater,,Coldwater,OH,"40.481679, -84.629590",2:00.52,nwdistrict25,
42,A,,CWYO,Wyoming,,Cincinnati,OH,"39.233295, -84.470133",2:00.80,swdistrict25,
43,A,,SCL,St. Clairsville,,St. Clairsville,OH,"40.079640, -80.896491",2:00.92,central25,
44,A,,CNDC,Notre Dame-Cathedral Latin,,Chardon,OH,"41.514751, -81.249669",2:01.04,nedistrict25,
45,A,,WHE,Wheelersburg,,Wheelersburg,OH,"38.722159, -82.846337",2:01.28,central25,
46,A,,CFK,Kenston,,Chagrin Falls,OH,"41.392195, -81.303848",2:01.30,nedistrict25,
47,A,,HBA,Badin,,Hamilton,OH,"39.395388, -84.592393",2:01.54,swdistrict25,
48,A,,PCJA,Jonathan Alder,,Plain City,OH,"40.078095, -83.287941",2:01.63,central25,
49,A,,BEA,Beachwood,,Beachwood,OH,"41.484048, -81.501324",2:01.72,nedistrict25,
50,A,,TCT,Tippecanoe,,Tipp City,OH,"39.982963, -84.188496",2:02.84,swdistrict25,
51,A,,NRCC,Colonel Crawford,,North Robinson,OH,"40.788253, -82.855703",2:03.21,nwdistrict25,
52,A,,SHE,St. Henry,,St. Henry,OH,"40.416354, -84.634782",2:03.39,nwdistrict25,
53,A,,ORR,Orrville,,Orrville,OH,"40.848053, -81.770023",2:03.64,nedistrict25,
54,A,,CAMA,Margaretta,,Castalia,OH,"41.399284, -82.801295",2:03.88,nwdistrict25,
55,A,,ADA,Ada,,Ada,OH,"40.774727, -83.832852",2:04.22,nwdistrict25,
56,A,,IND,Independence,,Independence,OH,"41.374340, -81.649124",2:04.30,nedistrict25,
57,A,,YUR,Ursuline,,Youngstown,OH,"41.109849, -80.643130",2:05.69,nedistrict25,
58,A,,BBL,Benjamin Logan,,Bellefontaine,OH,"40.408941, -83.655001",2:05.84,swdistrict25,
59,A,,PER,Perry,,Perry,OH,"41.773352, -81.140964",2:05.89,nedistrict25,
60,A,,WRV,River View,,Warsaw,OH,"40.339216, -81.959144",2:06.18,central25,
61,A,,CWG,West Geauga,,Chesterland,OH,"41.502898, -81.337292",2:06.96,nedistrict25,
62,A,,GCA,Columbus Academy,nhs,Gahanna,OH,"40.049132, -82.874035",2:07.22,central25,
63,A,,GEN,Geneva,,Geneva,OH,"41.800428, -80.928698",2:07.32,nedistrict25,
64,A,,NPH,New Philadelphia,,New Philadelphia,OH,"40.494380, -81.450237",2:07.69,central25,
65,A,,BELF,Bellefontaine,,Bellefontaine,OH,"40.348075, -83.753845",2:07.78,swdistrict25,
66,A,,CLHB,Beaumont,School,Cleveland Heights,OH,"41.485421, -81.561363",2:08.12,nedistrict25,
67,A,,PSE,Poland Seminary,,Poland,OH,"41.004101, -80.591280",2:08.41,nedistrict25,
68,A,,SPSH,Shawnee,,Springfield,OH,"39.870095, -83.781227",2:08.64,swdistrict25,
69,A,,DCA,Carroll,,Dayton,,"39.741866, -84.113388",2:08.73,swdistrict25,
70,A,,MPL,Pleasant,,Marion,OH,"40.516627, -83.137041",2:09.55,central25,
71,A,,CEL,Celina,,Celina,OH,"40.555665, -84.557991",2:10.68,nwdistrict25,
72,A,,NBR,New Bremen,,New Bremen,OH,"40.436355, -84.362117",2:10.74,nwdistrict25,
73,A,,VER,Vermilion,,Vermilion,OH,"41.411256, -82.357850",2:11.09,nwdistrict25,
74,A,,FRE,Fort Recovery,,Fort Recovery,OH,"40.412200, -84.774799",2:11.23,swdistrict25,
75,A,,VINW,Warren,,Vincent,OH,"39.388092, -81.663714",2:11.76,central25,
76,A,,DAL,Dalton,,Dalton,OH,"40.804101, -81.695655",2:11.85,nedistrict25,
77,A,,COSH,Coshocton,,Coshocton,OH,"40.258313, -81.845642",2:12.03,central25,
78,A,,MFER,Martins Ferry,,Martins Ferry,OH,"40.110965, -80.727010",2:12.76,central25,
79,A,,STE,Steubenville,,Steubenville,OH,"40.365024, -80.612165",2:13.25,central25,
80,A,,CARV,River Valley,,Caledonia,OH,"40.584898, -83.013730",2:13.62,central25,
81,A,,NORW,Norwalk,,Norwalk,OH,"41.226399, -82.611649",2:14.10,nwdistrict25,
82,A,,COGH,Grandview Heights,,Columbus,OH,"39.984467, -83.048483",2:14.39,central25,
83,A,,LFU,Fairfield Union,,Lancaster,OH,"39.754663, -82.466906",2:15.12,central25,
84,A,,MMC,Madison Comprehensive,,Mansfield,OH,"40.774653, -82.460698",2:15.17,nwdistrict25,
85,A,,BLU,Liberty Union,,Baltimore,OH,"39.847164, -82.607377",2:15.34,central25,
86,A,,WHO,Howland,,Warren,OH,"41.239850, -80.745293",2:15.49,nedistrict25,
87,A,,CHI,Chillicothe,,Chillicothe,OH,"39.341998, -82.988352",2:16.48,central25,
88,A,,COSG,Columbus School for Girls,nhs,Columbus,OH,"39.968086, -82.938260",2:16.61,central25,
89,A,,COTO,Tree of Life Christian,,Columbus,OH,"40.04091749742095, -82.99071114800029",2:17.74,central25,
90,A,,WIC,Indian Creek,,Wintersville,OH,"40.377015, -80.715419",2:17.78,central25,
91,A,,PPO,Orange,,Pepper Pike,OH,"41.458036, -81.454526",2:18.06,nedistrict25,
92,A,,PND,Notre Dame,,Portsmouth,OH,"38.750099, -82.985844",2:18.52,central25,
93,A,,COTW,The Wellington School,nhs,Columbus,OH,"40.031251, -83.064231",2:18.93,central25,
94,A,,TPA,Athens,,The Plains,OH,"39.372428, -82.128025",2:19.21,central25,
