rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,CSTX,St. Xavier,Cincinnati,OH,"39.208760, -84.504478",1:23.83,"21.57,21.35,20.70,20.21;A. Clippard,L. Bien,S. Demarco,C. Grisi",,
2,A,,COSC,St. Charles,Columbus,OH,"39.969651, -82.947449",1:24.06,"21.86,20.13,20.77,21.30;M. Gao,J. Lloyd,A. Zarick,B. King",,Preparatory School
3,A,,MIL,Milford,Milford,OH,"39.179768, -84.241069",1:24.64,"21.92,22.21,20.83,19.68;L. Crum,C. Barclay,E. Fentress,B. Campbell",,
4,A,,CLSI,St. Ignatius,Cleveland,OH,"41.482987, -81.706840",1:25.01,"20.91,21.65,21.52,20.93;T. Johannessen,E. Harvey,C. Fitzgerald,C. Saxon",,
5,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:25.29,"21.34,21.87,21.31,20.77;Y. Ghobril,S. Ramchandre,M. Cole,A. Jansen",,
6,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:25.62,"21.62,21.04,21.60,21.36;S. Dajusta,O. Hulse,J. Berg,B. Moss",,
7,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",1:25.90,"21.27,22.86,21.73,20.04;C. Williams,R. McDaniel,M. Beierle,M. Gaier",,
8,A,,LCO,Olentangy,Lewis Center,OH,"40.205092, -83.020650",1:26.29,"21.69,21.34,21.53,21.73;E. Tillman,M. Sagle,O. Thomas,T. Naylor",,
9,A,,CAMO,Archbishop Moeller,Cincinnati,OH,"39.220253, -84.358455",1:26.49,"21.49,22.00,21.69,21.31;N. Spivery,A. Held,S. Silverman,E. Preissler",,
10,A,,LTLE,Lakota East,Liberty Township,OH,"39.379273, -84.371020",1:26.60,"22.11,22.09,21.48,20.92;A. Nordmark,A. Fuller,A. Gomez,B. Fuller",,
11,A,,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",1:27.14,"21.51,22.23,21.85,21.55;M. Buchholz,J. Shindollar,S. Salazar,A. McMillan",,
12,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",1:27.15,"21.88,22.33,22.02,20.92;L. Mazon,I. Zackary,E. Wasco,D. Warren",,
13,A,,CIE,Elder,Cincinnati,OH,"39.112117, -84.580179",1:27.53,"21.72,21.49,22.29,22.03;C. Pressler,G. Miles,A. Cunningham,B. Vonderahe",,
14,A,,TSFD,St. Francis de Sales,Toledo,OH,"41.662272, -83.599113",1:27.65,"21.75,22.03,21.81,22.06;B. Sanchez,L. Harman,O. Lazenby,C. Peters",,
15,A,,VANB,Butler,Vandalia,OH,"39.885121, -84.197325",1:27.81,"22.21,22.30,21.99,21.31;D. Schlagetter,B. Schlagetter,A. Kuhns,K. Snyder",,
16,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:27.94,"22.01,22.52,22.55,20.86;C. Carlisle,P. Guerrera,A. Lutz,D. Cellar",,
17,A,,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",1:27.98,"22.32,22.30,21.38,21.98;O. Connick,G. McCracken,R. Roco,P. Varatta",,
18,A,,WAW,Anthony Wayne,Whitehouse,OH,"41.532495, -83.779770",1:28.05,"21.17,21.49,22.68,22.71;J. Jenkins,B. Jenkins,M. Gottschalk,N. Barasch",,
19,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",1:28.42,"22.84,21.60,21.96,22.02;R. Most,B. Peresie,A. Garmendia,M. Lewis",,
20,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:28.67,"22.65,21.13,22.22,22.67;D. Adams,C. Pirkle,K. Gilchrist,L. Axline",,
21,A,,DHA,Hayes,Delaware,OH,"40.310505, -83.080234",1:28.83,"22.87,22.43,22.06,21.47;T. Redmond,V. Hupp,L. West,N. Green",,
22,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",1:29.41,"21.92,22.00,22.23,23.26;C. Purtee,E. Pianki,N. Smith,K. Napier",,
23,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",1:29.99,"22.40,22.79,22.83,21.97;M. Sterling,C. Bartter,Y. Ebeidy,W. Barnes",,
24,A,,SOL,Solon,Solon,OH,"41.377670, -81.441060",1:30.45,"23.31,22.46,23.11,21.57;P. Harris,R. Musick,A. Polyakov,G. Libecco",,
